book_title,ban_date,avg_search_before,avg_search_after,max_search_before,max_search_after,min_search_before,min_search_after,percent_change,absolute_change,volatility,data_collected,collection_successful,state,error
Outlander (Outlander Series),2022-04-01,44.37,53.9,100.0,100.0,25.0,28.0,21.49,9.53,15.52,2026-02-05 21:47:04,True,Florida,
Gender Queer: A Memoir,2022-04-01,1.96,1.11,100.0,100.0,0.0,0.0,-43.18,-0.84,11.87,2026-02-05 21:47:09,True,Florida,
The Family Fletcher Takes Rock Island (Family Fletcher Series),2022-04-01,0.0,2.02,0.0,100.0,0.0,0.0,inf,2.02,13.48,2026-02-05 21:47:14,True,Florida,
Thirteen Reasons Why,2022-04-01,17.48,23.18,100.0,100.0,0.0,0.0,32.61,5.7,32.69,2026-02-05 21:47:19,True,Florida,
Looking for Alaska,2022-04-01,58.74,64.43,100.0,100.0,0.0,30.0,9.68,5.69,15.12,2026-02-05 21:47:28,True,Texas,
Out of Darkness,2022-04-01,52.04,61.17,100.0,100.0,0.0,0.0,17.53,9.12,18.36,2026-02-05 21:47:33,True,North Carolina,
I Am Not Your Perfect Mexican Daughter,2022-04-01,6.61,15.03,100.0,100.0,0.0,0.0,127.39,8.42,20.28,2026-02-05 21:47:38,True,Mississippi,
Milk and Honey,2022-04-01,66.6,48.67,100.0,100.0,43.0,35.0,-26.93,-17.93,14.86,2026-02-05 21:47:43,True,Texas,
Life is Funny,2022-04-01,19.27,37.09,100.0,100.0,0.0,0.0,92.5,17.82,31.6,2026-02-05 21:47:48,True,North Carolina,
The Bluest Eye,2022-04-01,40.28,40.0,100.0,100.0,0.0,0.0,-0.69,-0.28,26.86,2026-02-05 21:47:57,True,Florida,
All Boys Aren't Blue,2022-04-01,11.34,3.6,100.0,100.0,0.0,0.0,-68.27,-7.74,21.31,2026-02-05 21:48:02,True,Florida,
The Absolutely True Diary of a Part-Time Indian,2022-04-01,11.03,24.08,100.0,100.0,0.0,0.0,118.23,13.04,30.23,2026-02-05 21:48:07,True,Florida,
Home at Last,2022-04-01,51.29,76.51,100.0,100.0,33.0,53.0,49.18,25.22,17.06,2026-02-05 21:48:12,True,Florida,
The Kite Runner,2022-04-01,44.54,45.73,100.0,100.0,0.0,0.0,2.67,1.19,22.45,2026-02-05 21:48:17,True,Mississippi,
Piecing Me Together,2022-04-01,0.0,3.23,0.0,100.0,0.0,0.0,inf,3.23,17.42,2026-02-05 21:48:28,True,Mississippi,
Forbidden,2022-04-01,27.38,30.08,100.0,100.0,8.0,21.0,9.86,2.7,16.35,2026-02-05 21:48:37,True,Texas,
This Day in June,2022-04-01,1.92,26.02,100.0,100.0,0.0,0.0,1253.76,24.1,25.82,2026-02-05 21:48:47,True,Florida,
Forever...,2022-04-01,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-05 21:48:52,True,Florida,
