School Year,Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Ban Date,Ban Status,Origin of Challenge
2021-22,Sloppy Firsts (Jessica Darling Series),"McCafferty, Megan",,,,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,Outlander (Outlander Series),"Gabaldon, Diana",,,,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,Gender Queer: A Memoir,"Kobabe, Maia",,,,,Florida,Osceola County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,The Family Fletcher Takes Rock Island (Family Fletcher Series),"Levy, Dana Alison",,,,,Florida,Jackson County School District,Apr-22,Banned in Libraries and Classrooms,Administrator
2021-22,Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Santa Rosa County District Schools,Apr-22,Banned Pending Investigation,Administrator
2021-22,The Truth About Alice: A Novel,"Mathieu, Jennifer",,,,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,Looking for Alaska,"Green, John",,,,,Texas,Katy Independent School District,Apr-22,Banned in Libraries,Administrator
2021-22,Out of Darkness,"Perez, Ashley Hope",,,,,North Carolina,Moore County Schools,Apr-22,Banned in Libraries and Classrooms,Administrator
2021-22,I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",,,,,Mississippi,Madison County Schools,Apr-22,Banned in Libraries,Administrator
2021-22,Milk and Honey,"Kaur, Rupi",,,,,Texas,Killeen Independent School District,Apr-22,Banned in Libraries and Classrooms,Administrator
2021-22,Life is Funny,"Frank, ER",,,,,North Carolina,Moore County Schools,Apr-22,Banned in Libraries and Classrooms,Administrator
2021-22,Milk and Honey,"Kaur, Rupi",,,,,Texas,Frisco Independent School District,Apr-22,Banned in Libraries and Classrooms,Administrator
2021-22,The Bluest Eye,"Morrison, Toni",,,,,Florida,Santa Rosa County District Schools,Apr-22,Banned Pending Investigation,Administrator
2021-22,All Boys Aren't Blue,"Johnson, George M.",,,,,Florida,Osceola County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Santa Rosa County District Schools,Apr-22,Banned Pending Investigation,Administrator
2021-22,Home at Last,"Elya, Susan Middleton",,"Davalos, Felipe",,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,The Kite Runner,"Hosseini, Khaled",,,,,Mississippi,Madison County Schools,Apr-22,Banned in Libraries,Administrator
2021-22,Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,"Leff, Carrie","Klein, Lisa",,,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,Piecing Me Together,"Watson, Renée",,,,,Mississippi,Madison County Schools,Apr-22,Banned in Libraries,Administrator
2021-22,Duels and Deception,"Anstey, Cindy",,,,,Texas,Katy Independent School District,Apr-22,Banned in Libraries,Administrator
2021-22,Forbidden,"Suzuma, Tabitha",,,,,Texas,Cypress-Fairbanks Independent School District,Apr-22,Banned in Libraries and Classrooms,Administrator
2021-22,Looking for Alaska,"Green, John",,,,,Florida,Osceola County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,This Day in June,"Pitman, Gayle E.",,"Litten, Kristyna",,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,Forever...,"Blume, Judy",,,,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,Everywhere Babies,"Meyers, Susan",,"Frazee, Marla",,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,The Hate U Give,"Thomas, Angie",,,,,Florida,Santa Rosa County District Schools,Apr-22,Banned Pending Investigation,Administrator
2021-22,The Bluest Eye,"Morrison, Toni",,,,,Mississippi,Madison County Schools,Apr-22,Banned in Libraries,Administrator
2021-22,Full Disclosure,"Garrett, Camryn",,,,,Texas,Killeen Independent School District,Apr-22,Banned in Libraries and Classrooms,Administrator
2021-22,Touching Spirit Bear (Spirit Bear Series),"Mikaelsen, Ben",,,,,Mississippi,Madison County Schools,Apr-22,Banned in Libraries,Administrator
2021-22,"Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up","Corinna, Heather",,"Rotman, Isabella; Howard, Luke B.",,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Mississippi,Madison County Schools,Apr-22,Banned in Libraries,Administrator
2021-22,Beloved,"Morrison, Toni",,,,,Mississippi,Madison County Schools,Apr-22,Banned in Libraries,Administrator
2021-22,Pride: The Story of Harvey Milk and the Rainbow Flag,"Sanders, Rob",,,,,Idaho,Bonneville Joint School District No 93,Apr-22,Banned in Libraries,Formal Challenge
2021-22,Blue Is the Warmest Color,"Maroh, Julie",,,"Hahnenberger, Ivanka",,Texas,Frisco Independent School District,Apr-22,Banned in Libraries and Classrooms,Administrator
2021-22,Unravel Me (Shatter Me Series),"Mafi, Tahereh",,,,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,The Benefits of Being an Octopus,"Braden, Ann",,,,,Mississippi,Madison County Schools,Apr-22,Banned in Libraries,Administrator
2021-22,No One Knows About You,"Montoya, Paco",,,,,Texas,Katy Independent School District,Apr-22,Banned in Libraries,Administrator
2021-22,Nineteen Minutes,"Picoult, Jodi",,,,,Florida,Santa Rosa County District Schools,Apr-22,Banned Pending Investigation,Administrator
2021-22,Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Osceola County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,Beloved,"Morrison, Toni",,,,,Florida,Santa Rosa County District Schools,Apr-22,Banned Pending Investigation,Administrator
2021-22,Dreaming in Cuban,"García, Cristina",,,,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",,,,,Mississippi,Madison County Schools,Apr-22,Banned in Libraries,Administrator
2021-22,Beloved,"Morrison, Toni",,,,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,Tricks (Tricks Series),"Hopkins, Ellen",,,,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,"Trans+: Love, Sex, Romance, and Being You","Gonzales, Kathryn","Rayne, Karen",,,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,The Family Book,"Parr, Todd",,,,,Florida,Walton County School District,Apr-22,Banned Pending Investigation,Administrator
2021-22,I am Jazz,"Jennings, Jazz","Herthel, Jessica","McNicholas, Shelagh",,,Florida,Palm Beach County School District,Apr-22,Banned in Libraries and Classrooms,Administrator
2021-22,Jack of Hearts (and other parts),"Rosen, L. C.",,,,,Texas,Frisco Independent School District,Apr-22,Banned in Libraries and Classrooms,Administrator
