book_title,author,ban_date,state,total_ban_count,states_banned_in
Crank,"Hopkins, Ellen",2022-07-01,Florida,114,20
Identical,"Hopkins, Ellen",2022-03-01,Texas,108,18
Water for Elephants,"Gruen, Sara",2021-11-01,Michigan,100,16
A Court of Thorns and Roses,"Maas, Sarah J.",2022-07-01,Florida,96,19
A Court of Frost and Starlight,"Maas, Sarah J.",2022-07-01,Florida,82,16
Damsel,"Arnold, Elana K.",2022-03-01,Florida,69,14
A ​Court of Silver Flames,"Maas, Sarah J.",2022-07-01,Florida,65,15
The Color Purple,"Walker, Alice",2021-11-01,Florida,62,7
Perfect (EH),"Hopkins, Ellen",2023-08-01,Alaska,60,10
Slaughterhouse-Five,"Vonnegut Jr., Kurt",2022-05-01,Florida,59,16
Fallout,"Hopkins, Ellen",2022-09-01,Florida,57,13
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",2022-12-01,Florida,55,14
Impulse,"Hopkins, Ellen",2022-07-01,Florida,52,12
Breathless (JN),"Niven, Jennifer",2023-07-01,Alaska,51,12
Red Hood,"Arnold, Elana K.",2022-03-01,Florida,48,10
Burned (EH),"Hopkins, Ellen",2022-10-01,Florida,45,10
Glass,"Hopkins, Ellen",2022-10-01,Florida,44,13
A Stolen Life,"Dugard, Jaycee",2023-06-01,Texas,44,11
Tower of Dawn,"Maas, Sarah J.",2022-09-01,Florida,43,10
"l8r, g8r","Myracle, Lauren",2021-07-01,Wisconsin,42,15
People Kill People,"Hopkins, Ellen",2022-03-01,Texas,39,13
Homegoing,"Gyasi, Yaa",2021-11-01,Texas,38,14
Smoke,"Hopkins, Ellen",2022-09-01,Florida,37,10
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",2022-10-01,Florida,37,10
The Freedom Writers Diary,"Gruwell, Erin",2022-09-01,Florida,37,11
Boy Toy,"Lyga, Barry",2022-07-01,Florida,35,8
The Fault in Our Stars,"Green, John",2023-06-01,Florida,34,6
Fade,"McMann, Lisa",2022-09-01,Florida,34,10
Grown,"Jackson, Tiffany D.",2022-09-01,Florida,33,8
I'll Give You the Sun,"Nelson, Jandy",2021-12-01,Texas,31,10
We Are the Ants,"Hutchinson, Shaun David",2021-10-01,Texas,30,8
The Art of Racing in the Rain,"Stein, Garth",2022-05-01,Michigan,30,14
Where the Crawdads Sing,"Owens, Delia",2023-06-01,Florida,29,5
Beautiful,"Reed, Amy",2022-05-01,Florida,28,8
Dime,"Frank, E. R.",2021-11-01,Florida,28,8
Clockwork Orange,"Burgess, Anthony",2024-02-01,Florida,27,3
It,"King, Stephen",2023-01-01,Florida,26,6
Unravel Me,"Mafi, Tahereh",2022-07-01,Florida,25,7
Man o' War,"McCarthy, Cory",2022-11-01,Florida,24,5
A Game of Thrones,"Martin, George R. R.",2022-09-01,Texas,24,5
Felix Ever After,"Callender, Kacen",2021-12-01,Texas,23,10
Concrete Rose,"Thomas, Angie",2023-01-01,Florida,23,5
Jesus Land: A Memoir,"Scheeres, Julia",2022-03-01,Texas,23,8
This Is Kind of an Epic Love Story,"Callender, Kacen",2021-12-01,Texas,23,6
yolo,"Myracle, Lauren",2022-10-01,Florida,22,7
Song of Solomon,"Morrison, Toni",2023-08-01,Florida,21,3
Collateral,"Hopkins, Ellen",2022-10-01,Florida,21,6
Yolk,"Choi, Mary H.K.",2022-09-01,Florida,20,7
Crown of Midnight,"Maas, Sarah J.",2023-06-01,Florida,20,8
Twisted,"Anderson, Laurie Halse",2022-09-01,Florida,20,10
Throne of Glass,"Maas, Sarah J.",2023-02-01,Florida,20,9
All the Bright Places,"Niven, Jennifer",2022-10-01,Florida,20,5
