book_title,ban_date,collection_successful,error,state,avg_search_before,avg_search_after,max_search_before,max_search_after,min_search_before,min_search_after,percent_change,absolute_change,volatility,data_collected
"100 Questions You'd Never Ask Your Parents: Straight Answers to Teens' Questions About Sex, Sexuality, and Health",2021-12-01,False,The request failed: Google returned a response with code 400,Texas,,,,,,,,,,
"Jane, Unlimited",2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:15:42
The Questions Within (Cutting Edge Series),2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:15:55
Are You LGBTQ?,2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:16:08
Caste: The Origins of Our Discontents,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:16:22
Dear Martin,2021-12-01,True,,Wisconsin,17.14,18.59,100.0,100.0,0.0,0.0,8.43,1.44,26.38,2026-02-07 11:16:35
Away We Go,2021-12-01,True,,Texas,46.19,46.77,100.0,100.0,0.0,0.0,1.25,0.58,26.26,2026-02-07 11:16:48
"On the Come Up: A Novel, Based on a True Story",2021-12-01,True,,Texas,1.96,2.14,100.0,100.0,0.0,0.0,9.66,0.19,13.68,2026-02-07 11:17:02
"My Best Friend, Maybe",2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:17:15
Rethinking Normal: A Memoir in Transition,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:17:28
The Black Flamingo,2021-12-01,True,,Texas,2.82,1.99,100.0,100.0,0.0,0.0,-29.53,-0.83,14.35,2026-02-07 11:17:41
The Gallery of Unfinished Girls,2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:17:54
Look Past,2021-12-01,True,,Texas,61.8,65.99,100.0,100.0,28.0,0.0,6.78,4.19,16.94,2026-02-07 11:18:08
Teenage Sex and Pregnancy,2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:18:21
Felix Ever After,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:18:34
What Philosophy Can Do,2021-12-01,True,,Texas,3.99,8.84,100.0,100.0,0.0,0.0,121.73,4.86,22.39,2026-02-07 11:18:47
Drama: A Graphic Novel,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:19:00
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:19:13
Gender Identity: The Search for Self,2021-12-01,True,,Texas,0.0,1.71,0.0,100.0,0.0,0.0,inf,1.71,11.86,2026-02-07 11:19:26
"Homosexuality Around the World: Safe Havens, Cultural Challenges",2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:19:39
Transgender Rights and Issues,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:19:52
Between the World and Me,2021-12-01,True,,Texas,41.84,36.79,100.0,100.0,0.0,0.0,-12.08,-5.06,28.85,2026-02-07 11:20:06
The Year They Burned the Books,2021-12-01,True,,Texas,2.03,2.02,100.0,100.0,0.0,0.0,-0.55,-0.01,13.51,2026-02-07 11:20:19
All Boys Aren't Blue,2021-12-01,True,,Texas,3.23,9.62,100.0,100.0,0.0,0.0,197.59,6.39,19.54,2026-02-07 11:20:32
Little & Lion,2021-12-01,True,,Texas,2.1,1.11,100.0,100.0,0.0,0.0,-47.09,-0.99,12.35,2026-02-07 11:20:45
The Ultimate Guys' Body Book: Not-So-Stupid Questions About Your Body,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:20:58
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:21:11
The Sweet Revenge of Celia Door,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:21:24
Putting Makeup on the Fat Boy,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:21:37
