goodreads_id,goodreads_url,avg_rating,rating_count,review_count,scrape_status,dist_5_star_raw,count_5_star,pct_5_star,dist_4_star_raw,count_4_star,pct_4_star,dist_3_star_raw,count_3_star,pct_3_star,dist_2_star_raw,count_2_star,pct_2_star,dist_1_star_raw,count_1_star,pct_1_star,book_title,author,polarization,rating_skew,http_status,is_study_guide,log_rating_count,data_quality,pen_genre,total_ban_instances,states_banned_in
9976008,https://www.goodreads.com/book/show/9976008,4.44,1206.0,73.0,ok,729 (60%),729.0,60.0,327 (27%),327.0,27.0,113 (9%),113.0,9.0,26 (2%),26.0,2.0,11 (<1%),,,Sloppy Firsts (Jessica Darling Series),"McCafferty, Megan",0.6,0.6,,False,3.0813473078041325,Good,"Young Adult, Romance, Fiction, Chick Lit, Contemporary, Realistic Fiction, Teen",4,1
16029144,https://www.goodreads.com/book/show/16029144,4.71,10437.0,476.0,ok,"8,200 (78%)",8200.0,78.0,"1,639 (15%)",1639.0,15.0,434 (4%),434.0,4.0,98 (<1%),,,66 (<1%),,,Outlander (Outlander Series),"Gabaldon, Diana",0.78,0.78,,False,4.018575683467251,Good,"Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical, Historical Romance",1,1
42837514,https://www.goodreads.com/book/show/42837514,4.27,78681.0,11212.0,ok,"40,559 (51%)",40559.0,51.0,"25,532 (32%)",25532.0,32.0,"8,269 (10%)",8269.0,10.0,"1,866 (2%)",1866.0,2.0,"2,455 (3%)",2455.0,3.0,Gender Queer: A Memoir,"Kobabe, Maia",0.54,0.48,,False,4.8958698709692365,Good,"Graphic Novels, LGBT, Memoir, Nonfiction, Queer, Comics, Banned Books",94,26
29844228,https://www.goodreads.com/book/show/29844228,3.84,1026434.0,58376.0,ok,"356,250 (34%)",356250.0,34.0,"316,338 (30%)",316338.0,30.0,"226,163 (22%)",226163.0,22.0,"84,968 (8%)",84968.0,8.0,"42,715 (4%)",42715.0,4.0,Thirteen Reasons Why,"Asher, Jay",0.38,0.3,,False,6.011331029344877,Good,"Young Adult, Fiction, Contemporary, Realistic Fiction, Mystery, Mental Health, Teen",126,16
69438589,https://www.goodreads.com/book/show/69438589,3.63,15514.0,2720.0,ok,"3,038 (19%)",3038.0,19.0,"5,828 (37%)",5828.0,37.0,"4,852 (31%)",4852.0,31.0,"1,391 (8%)",1391.0,8.0,405 (2%),405.0,2.0,The Truth About Alice: A Novel,"Mathieu, Jennifer",0.21,0.17,,False,4.190723787108166,Good,"Young Adult, Contemporary, Fiction, Realistic Fiction, Romance, High School, Banned Books",41,10
99561,https://www.goodreads.com/book/show/99561,3.96,1753277.0,82969.0,ok,"659,319 (37%)",659319.0,37.0,"564,377 (32%)",564377.0,32.0,"369,324 (21%)",369324.0,21.0,"116,763 (6%)",116763.0,6.0,"43,494 (2%)",43494.0,2.0,Looking for Alaska,"Green, John",0.39,0.35,,False,6.2438505356419585,Good,"Young Adult, Fiction, Contemporary, Romance, Realistic Fiction, Coming Of Age, Teen",147,22
25256386,https://www.goodreads.com/book/show/25256386,4.14,8742.0,1686.0,ok,"3,670 (41%)",3670.0,41.0,"3,352 (38%)",3352.0,38.0,"1,199 (13%)",1199.0,13.0,338 (3%),338.0,3.0,183 (2%),183.0,2.0,Out of Darkness,"Perez, Ashley Hope",0.43,0.39,,False,3.9416108021536336,Good,"Historical Fiction, Young Adult, Banned Books, Fiction, Historical, Romance, Audiobook",98,21
29010395,https://www.goodreads.com/book/show/29010395,4.0,83685.0,10689.0,ok,"27,526 (32%)",27526.0,32.0,"34,492 (41%)",34492.0,41.0,"17,090 (20%)",17090.0,20.0,"3,564 (4%)",3564.0,4.0,"1,013 (1%)",1013.0,1.0,I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",0.33,0.31,,False,4.9226476204660505,Good,"Young Adult, Fiction, Contemporary, Realistic Fiction, Audiobook, Mental Health, Coming Of Age",67,13
23513349,https://www.goodreads.com/book/show/23513349,3.95,812074.0,49656.0,ok,"350,286 (43%)",350286.0,43.0,"217,560 (26%)",217560.0,26.0,"141,688 (17%)",141688.0,17.0,"62,425 (7%)",62425.0,7.0,"40,115 (4%)",40115.0,4.0,Milk and Honey,"Kaur, Rupi",0.47,0.39,,False,5.909595605998987,Good,"Feminism, Nonfiction, Poetry, Contemporary, Adult, Romance, Mental Health",60,15
98024,https://www.goodreads.com/book/show/98024,3.83,960.0,97.0,ok,315 (32%),315.0,32.0,303 (31%),303.0,31.0,234 (24%),234.0,24.0,81 (8%),81.0,8.0,27 (2%),27.0,2.0,Life is Funny,"Frank, ER",0.34,0.3,,False,2.9822712330395684,Good,"Young Adult, Banned Books, Realistic Fiction, Short Stories, Fiction, Contemporary, Teen",31,7
