book_title,author,goodreads_id,goodreads_url,found,search_query,avg_rating,rating_count,review_count,want_to_read,dist_5_star,dist_4_star,dist_3_star,dist_2_star,dist_1_star
Nineteen Minutes,"Picoult, Jodi",49676332.0,https://www.goodreads.com/book/show/49676332-study-guide?from_search=true&from_srp=true&qid=sSU1MXWYwK&rank=1,True,"Nineteen Minutes Picoult, Jodi",4.00,5,review,,2 (40%),2 (40%),0 (0%),1 (20%),0 (0%)
The Perks of Being a Wallflower,"Chbosky, Stephen",20412869.0,https://www.goodreads.com/book/show/20412869-study-guide?from_search=true&from_srp=true&qid=ejbLe9QzMa&rank=1,True,"The Perks of Being a Wallflower Chbosky, Stephen",3.98,48,review,,24 (50%),10 (20%),5 (10%),7 (14%),2 (4%)
Beloved,"Morrison, Toni",6149.0,https://www.goodreads.com/book/show/6149.Beloved?from_search=true&from_srp=true&qid=f99YoND4ug&rank=1,True,"Beloved Morrison, Toni",3.98,491684,,,"193,128 (39%)","160,107 (32%)","90,240 (18%)","31,629 (6%)","16,580 (3%)"
Crank,"Hopkins, Ellen",12437190.0,https://www.goodreads.com/book/show/12437190-crank-by-ellen-hopkins-l-summary-study-guide?from_search=true&from_srp=true&qid=Hmr0I08gfm&rank=1,True,"Crank Hopkins, Ellen",4.60,48,,,35 (72%),8 (16%),4 (8%),1 (2%),0 (0%)
Fallout,"Hopkins, Ellen",19365546.0,https://www.goodreads.com/book/show/19365546-summary-study-guide-fallout-by-ellen-hopkins?from_search=true&from_srp=true&qid=eoFUOjecB6&rank=1,True,"Fallout Hopkins, Ellen",4.67,6,,,4 (66%),2 (33%),0 (0%),0 (0%),0 (0%)
Glass,"Hopkins, Ellen",270804.0,https://www.goodreads.com/book/show/270804.Glass?from_search=true&from_srp=true&qid=nNXcpOv3I3&rank=1,True,"Glass Hopkins, Ellen",4.29,74752,,,"38,307 (51%)","23,095 (30%)","10,591 (14%)","2,123 (2%)",636 (<1%)
Identical,"Hopkins, Ellen",37542448.0,https://www.goodreads.com/book/show/37542448-summary-study-guide-identical-by-ellen-hopkins?from_search=true&from_srp=true&qid=WkmXSn4adZ&rank=1,True,"Identical Hopkins, Ellen",5.00,3,,,3 (100%),0 (0%),0 (0%),0 (0%),0 (0%)
"It's Your World - If You Don't Like It, Change It: Activism for Teenagers","Halpin, Mikki",894640.0,https://www.goodreads.com/book/show/894640.It_s_Your_World_If_You_Don_t_Like_It_Change_It?from_search=true&from_srp=true&qid=0agBkWLjO8&rank=1,True,"It's Your World - If You Don't Like It, Change It: Activism for Teenagers Halpin, Mikki",3.41,27,,,6 (22%),7 (25%),7 (25%),6 (22%),1 (3%)
Looking for Alaska,"Green, John",99561.0,https://www.goodreads.com/book/show/99561.Looking_for_Alaska?from_search=true&from_srp=true&qid=s26VNpI12k&rank=1,True,"Looking for Alaska Green, John",3.96,1751316,,,"658,742 (37%)","563,687 (32%)","368,796 (21%)","116,632 (6%)","43,459 (2%)"
Melissa (George),"Gino, Alex",24612624.0,https://www.goodreads.com/book/show/24612624-melissa?from_search=true&from_srp=true&qid=C7Usyqo8wV&rank=1,True,"Melissa (George) Gino, Alex",4.09,47784,,,"17,745 (37%)","19,818 (41%)","7,929 (16%)","1,444 (3%)",848 (1%)
Nineteen Minutes,"Picoult, Jodi",49676332.0,https://www.goodreads.com/book/show/49676332-study-guide?from_search=true&from_srp=true&qid=VOe1OQQV5R&rank=1,True,"Nineteen Minutes Picoult, Jodi",4.00,5,review,,2 (40%),2 (40%),0 (0%),1 (20%),0 (0%)
Redwood and Ponytail,"Holt, K. A.",38326884.0,https://www.goodreads.com/book/show/38326884-redwood-and-ponytail?from_search=true&from_srp=true&qid=n3s9BMnS2w&rank=1,True,"Redwood and Ponytail Holt, K. A.",4.17,2901,,,"1,218 (41%)","1,125 (38%)",430 (14%),93 (3%),35 (1%)
Smoke,"Hopkins, Ellen",160146150.0,https://www.goodreads.com/book/show/160146150-smoke-by-ellen-hopkins-10-sep-2013-hardcover?from_search=true&from_srp=true&qid=RnPcYWdC1q&rank=1,True,"Smoke Hopkins, Ellen",4.33,17320,,,"9,161 (52%)","5,263 (30%)","2,370 (13%)",437 (2%),89 (<1%)
The Bluest Eye,"Morrison, Toni",45294414.0,https://www.goodreads.com/book/show/45294414-study-guide?from_search=true&from_srp=true&qid=Nrl92Z8YUI&rank=1,True,"The Bluest Eye Morrison, Toni",3.50,6,,,2 (33%),1 (16%),2 (33%),0 (0%),1 (16%)
The Hate U Give,"Thomas, Angie",44805980.0,https://www.goodreads.com/book/show/44805980-the-hate-u-give-by-angie-thomas-book-analysis?from_search=true&from_srp=true&qid=Nt6Q7C77fo&rank=1,True,"The Hate U Give Thomas, Angie",4.44,9,review,,5 (55%),3 (33%),1 (11%),0 (0%),0 (0%)
The Kite Runner,"Hosseini, Khaled",21060082.0,https://www.goodreads.com/book/show/21060082-summary-study-guide-the-kite-runner-by-khaled-hosseini?from_search=true&from_srp=true&qid=NQn4loGESK&rank=1,True,"The Kite Runner Hosseini, Khaled",4.00,19,,,6 (31%),8 (42%),4 (21%),1 (5%),0 (0%)
The Perks of Being a Wallflower,"Chbosky, Stephen",20412869.0,https://www.goodreads.com/book/show/20412869-study-guide?from_search=true&from_srp=true&qid=V64l7MKYHD&rank=1,True,"The Perks of Being a Wallflower Chbosky, Stephen",3.98,48,review,,24 (50%),10 (20%),5 (10%),7 (14%),2 (4%)
Thirteen Reasons Why,"Asher, Jay",24795284.0,https://www.goodreads.com/book/show/24795284-summary-study-guide-thirteen-reasons-why-by-jay-asher?from_search=true&from_srp=true&qid=DwUzM7zz7W&rank=1,True,"Thirteen Reasons Why Asher, Jay",3.88,17,,,6 (35%),5 (29%),5 (29%),0 (0%),1 (5%)
You Should See Me in a Crown,"Johnson, Leah",75613675.0,https://www.goodreads.com/book/show/75613675-study-guide?from_search=true&from_srp=true&qid=bPaLZ6LPwm&rank=1,True,"You Should See Me in a Crown Johnson, Leah",0.00,0,,,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%)
Ana on the Edge,"Sass, A. J.",50998103.0,https://www.goodreads.com/book/show/50998103-ana-on-the-edge?from_search=true&from_srp=true&qid=nMBiVGw6sx&rank=1,True,"Ana on the Edge Sass, A. J.",4.36,1596,,,791 (49%),622 (38%),156 (9%),21 (1%),6 (<1%)
The Ship We Built,"Bean, Lexie",42393479.0,https://www.goodreads.com/book/show/42393479-the-ship-we-built?from_search=true&from_srp=true&qid=9BYHFO2rxq&rank=1,True,"The Ship We Built Bean, Lexie",4.21,768,,,359 (46%),265 (34%),102 (13%),33 (4%),9 (1%)
"You Don’t Know Everything, Jilly P!","Gino, Alex",37822657.0,https://www.goodreads.com/book/show/37822657-you-don-t-know-everything-jilly-p?from_search=true&from_srp=true&qid=DJpfGIAHQJ&rank=1,True,"You Don’t Know Everything, Jilly P! Gino, Alex",4.02,2998,,,978 (32%),"1,270 (42%)",615 (20%),102 (3%),33 (1%)
A Thousand Splendid Suns,"Hosseini, Khaled",4421244.0,https://www.goodreads.com/book/show/4421244-bookclub-in-a-box-discusses-the-novel-a-thousand-splendid-suns-by-khale?from_search=true&from_srp=true&qid=M8MdSMAZVM&rank=1,True,"A Thousand Splendid Suns Hosseini, Khaled",4.36,172,,,95 (55%),50 (29%),23 (13%),2 (1%),2 (1%)
Blood of my Blood,"Lyga, Barry",140241158.0,https://www.goodreads.com/book/show/140241158-blood-of-my-blood-by-barry-lyga-7-may-2015-paperback?from_search=true&from_srp=true&qid=Aeoai8FFo3&rank=1,True,"Blood of my Blood Lyga, Barry",0.00,0,,,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%)
Into the Garden,"Andrews, V. C.",639750.0,https://www.goodreads.com/book/show/639750.Into_the_Garden?from_search=true&from_srp=true&qid=ENUlcwbAQc&rank=1,True,"Into the Garden Andrews, V. C.",3.85,4176,,,"1,465 (35%)","1,186 (28%)","1,067 (25%)",366 (8%),92 (2%)
The Human Stain,"Roth, Philip",11734.0,https://www.goodreads.com/book/show/11734.The_Human_Stain?from_search=true&from_srp=true&qid=ndm1A38lPW&rank=1,True,"The Human Stain Roth, Philip",3.92,45841,,,"14,332 (31%)","18,079 (39%)","9,804 (21%)","2,678 (5%)",948 (2%)
All Boys Aren't Blue,"Johnson, George M.",44280883.0,https://www.goodreads.com/book/show/44280883-all-boys-aren-t-blue?from_search=true&from_srp=true&qid=rY9y9oN9rN&rank=1,True,"All Boys Aren't Blue Johnson, George M.",4.18,47209,,,"18,864 (39%)","19,991 (42%)","6,882 (14%)","1,130 (2%)",342 (<1%)
Damsel,"Arnold, Elana K.",36260155.0,https://www.goodreads.com/book/show/36260155-damsel?from_search=true&from_srp=true&qid=1kvelJ6VwI&rank=1,True,"Damsel Arnold, Elana K.",3.30,11499,,,"2,099 (18%)","3,339 (29%)","3,117 (27%)","1,746 (15%)","1,198 (10%)"
"Heartstopper, Vol. 1","Oseman, Alice",199014264.0,https://www.goodreads.com/book/show/199014264-heartstopper-vol-1---collector-s-edition?from_search=true&from_srp=true&qid=PTuRiYjmjb&rank=1,True,"Heartstopper, Vol. 1 Oseman, Alice",4.42,888234,,,"522,896 (58%)","249,520 (28%)","88,275 (9%)","17,773 (2%)","9,770 (1%)"
"Heartstopper, Vol. 2","Oseman, Alice",199339487.0,https://www.goodreads.com/book/show/199339487-heartstopper-vol-2---collector-s-edition?from_search=true&from_srp=true&qid=dqXnaH7iJp&rank=1,True,"Heartstopper, Vol. 2 Oseman, Alice",4.51,568637,,,"355,962 (62%)","158,212 (27%)","45,146 (7%)","6,459 (1%)","2,858 (<1%)"
"Heartstopper, Vol. 3","Oseman, Alice",200033939.0,https://www.goodreads.com/book/show/200033939-heartstopper-vol-3---collector-s-edition?from_search=true&from_srp=true&qid=nCql3g2gII&rank=1,True,"Heartstopper, Vol. 3 Oseman, Alice",4.54,498587,,,"321,455 (64%)","133,181 (26%)","37,137 (7%)","5,081 (1%)","1,733 (<1%)"
