book_title,author,goodreads_id,goodreads_url,found,match_score,matched_title,matched_author,reason
Sloppy Firsts (Jessica Darling Series),"McCafferty, Megan",9976008,https://www.goodreads.com/book/show/9976008-the-complete-jessica-darling-series?from_search=true&from_srp=true&qid=SouPuKt8Ne&rank=1,True,0.2734,"The Complete Jessica Darling Series: Sloppy Firsts, Second Helpings, Charmed Thirds, Fourth Comings, Perfect Fifths",Megan McCafferty,ok
Outlander (Outlander Series),"Gabaldon, Diana",16029144,https://www.goodreads.com/book/show/16029144-the-outlander-series?from_search=true&from_srp=true&qid=WYqq5uZsej&rank=9,True,0.6133,"The Outlander Series (Outlander, #1-7)",Diana Gabaldon,ok
Gender Queer: A Memoir,"Kobabe, Maia",42837514,https://www.goodreads.com/book/show/42837514-gender-queer?from_search=true&from_srp=true&qid=3HFsRzvcoe&rank=2,True,0.9318,Gender Queer: A Memoir,Maia Kobabe,ok
The Family Fletcher Takes Rock Island (Family Fletcher Series),"Levy, Dana Alison",,,False,,,,no_candidates
Thirteen Reasons Why,"Asher, Jay",29844228,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why?from_search=true&from_srp=true&qid=1gM0viTYKO&rank=3,True,0.9333,Thirteen Reasons Why,Jay Asher,ok
The Truth About Alice: A Novel,"Mathieu, Jennifer",69438589,https://www.goodreads.com/book/show/69438589-the-truth-about-alice?from_search=true&from_srp=true&qid=11QnnV1ZXf&rank=1,True,0.925,The Truth About Alice: A Novel,Jennifer Mathieu,ok
Looking for Alaska,"Green, John",99561,https://www.goodreads.com/book/show/99561.Looking_for_Alaska?from_search=true&from_srp=true&qid=9ZA7YVmisQ&rank=1,True,0.925,Looking for Alaska,John Green,ok
Out of Darkness,"Perez, Ashley Hope",25256386,https://www.goodreads.com/book/show/25256386-out-of-darkness?from_search=true&from_srp=true&qid=1mO42rpylu&rank=1,True,0.9471,Out of Darkness,Ashley Hope Pérez,ok
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",29010395,https://www.goodreads.com/book/show/29010395-i-am-not-your-perfect-mexican-daughter?from_search=true&from_srp=true&qid=01SVko42tW&rank=1,True,0.92,I Am Not Your Perfect Mexican Daughter,Erika L. Sánchez,ok
Milk and Honey,"Kaur, Rupi",23513349,https://www.goodreads.com/book/show/23513349-milk-and-honey?from_search=true&from_srp=true&qid=KkDLb3wBUx&rank=7,True,0.9167,Milk and honey,Rupi Kaur,ok
Life is Funny,"Frank, ER",98024,https://www.goodreads.com/book/show/98024.Life_Is_Funny?from_search=true&from_srp=true&qid=Ua1s3nyCLG&rank=1,True,0.9382,Life Is Funny,E.R. Frank,ok
The Bluest Eye,"Morrison, Toni",11337,https://www.goodreads.com/book/show/11337.The_Bluest_Eye?from_search=true&from_srp=true&qid=E3YZQi4rqg&rank=3,True,0.9423,The Bluest Eye,Toni Morrison,ok
All Boys Aren't Blue,"Johnson, George M.",44280883,https://www.goodreads.com/book/show/44280883-all-boys-aren-t-blue?from_search=true&from_srp=true&qid=pZVNB6PUXA&rank=1,True,0.925,All Boys Aren’t Blue,George M.   Johnson,ok
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",693208,https://www.goodreads.com/book/show/693208.The_Absolutely_True_Diary_of_a_Part_Time_Indian?from_search=true&from_srp=true&qid=6Gunk2GLtT&rank=2,True,0.925,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,ok
Home at Last,"Elya, Susan Middleton",3695892,https://www.goodreads.com/book/show/3695892-home-at-last?from_search=true&from_srp=true&qid=zZjnfLytAc&rank=2,True,0.9625,Home at Last,Susan Middleton Elya,ok
The Kite Runner,"Hosseini, Khaled",22095553,https://www.goodreads.com/book/show/22095553-quicklet-on-the-kite-runner-by-khaled-hosseini?from_search=true&from_srp=true&qid=emnav9eu3F&rank=6,True,0.468,Quicklet On The Kite Runner By Khaled Hosseini (CliffNotes-like Book Summary),Karen Lac (Khaled Hosseini Analysis),ok
Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,"Leff, Carrie",201334740,https://www.goodreads.com/book/show/201334740-celebrate-your-body-2?from_search=true&from_srp=true&qid=OAzNaOnZoR&rank=2,True,0.934,Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,Dr. Carrie Leff,ok
Piecing Me Together,"Watson, Renée",25566675,https://www.goodreads.com/book/show/25566675-piecing-me-together?from_search=true&from_srp=true&qid=eBBXRBdBwg&rank=4,True,0.925,Piecing Me Together,Renée  Watson,ok
Duels and Deception,"Anstey, Cindy",29569260,https://www.goodreads.com/book/show/29569260-duels-deception?from_search=true&from_srp=true&qid=ymc85RtkYM&rank=1,True,0.825,Duels & Deception,Cindy Anstey,ok
Forbidden,"Suzuma, Tabitha",7600924,https://www.goodreads.com/book/show/7600924-forbidden?from_search=true&from_srp=true&qid=Fzl90uwgsk&rank=1,True,0.925,Forbidden,Tabitha Suzuma,ok
This Day in June,"Pitman, Gayle E.",18615267,https://www.goodreads.com/book/show/18615267-this-day-in-june?from_search=true&from_srp=true&qid=HuLpPLMPws&rank=1,True,0.925,This Day in June,Gayle E. Pitman,ok
Forever...,"Blume, Judy",37743,https://www.goodreads.com/book/show/37743.Forever_?from_search=true&from_srp=true&qid=VPtzBkUheC&rank=3,True,0.925,Forever...,Judy Blume,ok
Everywhere Babies,"Meyers, Susan",931906,https://www.goodreads.com/book/show/931906.Everywhere_Babies?from_search=true&from_srp=true&qid=uoeAv5H2fV&rank=5,True,0.925,Everywhere Babies,Susan Meyers,ok
The Hate U Give,"Thomas, Angie",58651625,https://www.goodreads.com/book/show/58651625-the-hate-u-give?from_search=true&from_srp=true&qid=OJ8Nk9WPlx&rank=9,True,0.925,The Hate U Give,Angie Thomas,ok
Full Disclosure,"Garrett, Camryn",38897636,https://www.goodreads.com/book/show/38897636-full-disclosure?from_search=true&from_srp=true&qid=KlPg90r9yh&rank=1,True,0.925,Full Disclosure,Camryn Garrett,ok
Touching Spirit Bear (Spirit Bear Series),"Mikaelsen, Ben",37489841,https://www.goodreads.com/book/show/37489841-touching-spirit-bear?from_search=true&from_srp=true&qid=sNGuXfUI7o&rank=1,True,0.9538,Touching Spirit Bear (Spritit Bear Series),Ben Mikaelsen,ok
"Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up","Corinna, Heather",43822305,https://www.goodreads.com/book/show/43822305-wait-what?from_search=true&from_srp=true&qid=8U2e58LYrg&rank=1,True,0.92,"Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up",Heather Corinna,ok
Beloved,"Morrison, Toni",6149,https://www.goodreads.com/book/show/6149.Beloved?from_search=true&from_srp=true&qid=2KbBho8qBs&rank=1,True,0.9423,"Beloved (Beloved Trilogy, #1)",Toni Morrison,ok
Pride: The Story of Harvey Milk and the Rainbow Flag,"Sanders, Rob",29739044,https://www.goodreads.com/book/show/29739044-pride?from_search=true&from_srp=true&qid=enNxoEvUNS&rank=1,True,0.9455,Pride: The Story of Harvey Milk and the Rainbow Flag,Rob    Sanders,ok
Blue Is the Warmest Color,"Maroh, Julie",,,False,,,,no_candidates
Unravel Me (Shatter Me Series),"Mafi, Tahereh",242256665,https://www.goodreads.com/book/show/242256665-unravel-me-paperback-deluxe-limited-edition?from_search=true&from_srp=true&qid=WaF8q78Y7Z&rank=10,True,0.4083,"Unravel Me Paperback Deluxe Limited Edition (Shatter Me: Series One, 2)",Tahereh Mafi,ok
The Benefits of Being an Octopus,"Braden, Ann",35890044,https://www.goodreads.com/book/show/35890044-the-benefits-of-being-an-octopus?from_search=true&from_srp=true&qid=HnbaHGIBvT&rank=7,True,0.94,The Benefits of Being an Octopus,Ann Braden,ok
No One Knows About You,"Montoya, Paco",59807886,https://www.goodreads.com/book/show/59807886-no-one-knows-about-you?from_search=true&from_srp=true&qid=StLgMogd0b&rank=1,True,0.9375,No One Knows About You,Paco Montoya,ok
Nineteen Minutes,"Picoult, Jodi",14866,https://www.goodreads.com/book/show/14866.Nineteen_Minutes?from_search=true&from_srp=true&qid=l0VBGozTQh&rank=2,True,0.9375,Nineteen Minutes,Jodi Picoult,ok
Me and Earl and the Dying Girl,"Andrews, Jesse",12700353,https://www.goodreads.com/book/show/12700353-me-and-earl-and-the-dying-girl?from_search=true&from_srp=true&qid=hKmYKXWlof&rank=2,True,0.9308,Me and Earl and the Dying Girl,Jesse Andrews,ok
Dreaming in Cuban,"García, Cristina",41021622,https://www.goodreads.com/book/show/41021622-dreaming-in-cuban?from_search=true&from_srp=true&qid=v8cu3HpcPq&rank=3,True,0.93,Dreaming in Cuban,Cristina García,ok
"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",35046241,https://www.goodreads.com/book/show/35046241-queer-there-and-everywhere?from_search=true&from_srp=true&qid=bAARq4HcSa&rank=1,True,0.925,"Queer, There and Everywhere: 23 People Who Changed the World",Sarah Prager,ok
Tricks (Tricks Series),"Hopkins, Ellen",65084657,https://www.goodreads.com/book/show/65084657-tricks?from_search=true&from_srp=true&qid=GAy5xto4Lp&rank=5,True,0.9308,Tricks (Tricks Series),Ellen Hopkins,ok
"Trans+: Love, Sex, Romance, and Being You","Gonzales, Kathryn",44130829,https://www.goodreads.com/book/show/44130829-trans?from_search=true&from_srp=true&qid=pZ7KifD2o5&rank=1,True,0.925,"Trans+: Love, Sex, Romance, and Being You",Kathryn Gonzales,ok
The Family Book,"Parr, Todd",120654,https://www.goodreads.com/book/show/120654.The_Family_Book?from_search=true&from_srp=true&qid=qpNoupfyW5&rank=2,True,0.9167,The Family Book,Todd Parr,ok
