book_title,author,goodreads_id,goodreads_url,found,search_query
Nineteen Minutes,"Picoult, Jodi",14866,https://www.goodreads.com/book/show/14866.Nineteen_Minutes?from_search=true&from_srp=true&qid=pwo2t4gFqd&rank=2,True,"Nineteen Minutes Picoult, Jodi"
The Perks of Being a Wallflower,"Chbosky, Stephen",22628,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower?from_search=true&from_srp=true&qid=mGqP5vvyLS&rank=2,True,"The Perks of Being a Wallflower Chbosky, Stephen"
#Pride: Championing LGBTQ Rights,"Felix, Rebecca",,,False,"#Pride: Championing LGBTQ Rights Felix, Rebecca"
Beloved,"Morrison, Toni",6149.0,https://www.goodreads.com/book/show/6149.Beloved?from_search=true&from_srp=true&qid=f99YoND4ug&rank=1,True,"Beloved Morrison, Toni"
Burned (EH),"Hopkins, Ellen",,,False,"Burned (EH) Hopkins, Ellen"
Crank,"Hopkins, Ellen",270730,https://www.goodreads.com/book/show/270730.Crank?from_search=true&from_srp=true&qid=E1GVZ32pfF&rank=2,True,"Crank Hopkins, Ellen"
Fallout,"Hopkins, Ellen",7171876,https://www.goodreads.com/book/show/7171876-fallout?from_search=true&from_srp=true&qid=nbZBLDcXHO&rank=2,True,"Fallout Hopkins, Ellen"
Glass,"Hopkins, Ellen",270804.0,https://www.goodreads.com/book/show/270804.Glass?from_search=true&from_srp=true&qid=nNXcpOv3I3&rank=1,True,"Glass Hopkins, Ellen"
Identical,"Hopkins, Ellen",2241059,https://www.goodreads.com/book/show/2241059.Identical?from_search=true&from_srp=true&qid=OOnG1zhpBd&rank=2,True,"Identical Hopkins, Ellen"
"It's Your World - If You Don't Like It, Change It: Activism for Teenagers","Halpin, Mikki",894640.0,https://www.goodreads.com/book/show/894640.It_s_Your_World_If_You_Don_t_Like_It_Change_It?from_search=true&from_srp=true&qid=0agBkWLjO8&rank=1,True,"It's Your World - If You Don't Like It, Change It: Activism for Teenagers Halpin, Mikki"
Looking for Alaska,"Green, John",99561.0,https://www.goodreads.com/book/show/99561.Looking_for_Alaska?from_search=true&from_srp=true&qid=s26VNpI12k&rank=1,True,"Looking for Alaska Green, John"
Melissa (George),"Gino, Alex",24612624.0,https://www.goodreads.com/book/show/24612624-melissa?from_search=true&from_srp=true&qid=C7Usyqo8wV&rank=1,True,"Melissa (George) Gino, Alex"
Nineteen Minutes,"Picoult, Jodi",14866,https://www.goodreads.com/book/show/14866.Nineteen_Minutes?from_search=true&from_srp=true&qid=38ZFgQPIJJ&rank=2,True,"Nineteen Minutes Picoult, Jodi"
