book_title,state,ban_date,genre,ban_status,total_ban_instances,states_banned_in,districts_banned_in,pre_ban_popularity,avg_search_before,avg_search_after,spike_magnitude,max_search_before,max_search_after,percent_change,streisand_category,searches_increased,volatility
Day of the Dead,Florida,2022-01-01,"Picture Books, Holiday, Childrens, Halloween, Nonfiction, Family, Cultural",Banned Pending Investigation,1,1,1,Low Interest,1.91,67.73,65.82000000000001,100.0,100.0,3444.19,Strong Spike,True,34.39
Howl,Florida,2024-06-01,Young Adult Fiction,Banned,4,1,4,Moderate Interest,16.19,73.69,57.5,100.0,100.0,355.18,Strong Spike,True,30.15
The Hill,Missouri,2022-09-01,"Girls, Berkshire County (Mass.), Fiction, Meat industry and trade",Banned Pending Investigation,1,1,1,Popular,31.78,88.22,56.44,100.0,100.0,177.62,Strong Spike,True,29.13
The Right Fight,Tennessee,2025-02-01,"Juvenile Fiction, Africa, North, Performing Arts",Banned,1,1,1,Moderate Interest,5.68,61.33,55.65,100.0,100.0,980.23,Strong Spike,True,31.74
Herzog,Florida,2024-06-01,"Fiction, Classics, Literature, Novels, American, Nobel Prize, 20th Century",Banned by Restriction,1,1,1,Moderate Interest,9.92,64.78,54.86,100.0,100.0,552.86,Strong Spike,True,29.87
Drown,Texas,2023-11-01,Fiction,Banned,1,1,1,Moderate Interest,15.93,68.88,52.949999999999996,100.0,100.0,332.29,Strong Spike,True,27.75
The Event,Missouri,2022-09-01,"Comics & Graphic Novels, COMICS & GRAPHIC NOVELS",Banned Pending Investigation,1,1,1,Popular,23.74,75.96,52.22,100.0,100.0,219.89,Strong Spike,True,29.51
Thorn,Tennessee,2024-10-01,Young Adult Fiction,Banned,1,1,1,Popular,32.41,83.37,50.96000000000001,100.0,100.0,157.22,Strong Spike,True,27.03
To Kill a Mockingbird,North Carolina,2021-10-01,"Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School",Banned from Classrooms,6,6,6,Moderate Interest,16.83,66.38,49.55,100.0,100.0,294.32,Strong Spike,True,29.24
Innocence,Iowa,2024-06-01,"Fiction, Monsters",Banned,1,1,1,Moderate Interest,17.18,65.97,48.79,100.0,100.0,284.02,Strong Spike,True,27.61
Costume,Tennessee,2025-02-01,"Juvenile Nonfiction, Clothing and dress",Banned,1,1,1,Popular,26.64,73.94,47.3,100.0,100.0,177.52,Strong Spike,True,25.13
Orchards,Texas,2025-01-01,"Young Adult Fiction, Fruit, Microirrigation",Banned,1,1,1,Moderate Interest,19.52,65.57,46.05,100.0,100.0,235.86,Strong Spike,True,27.83
The Covenant of Water,Florida,2024-06-01,"Fiction, Historical Fiction, Audiobook, India, Historical, Literary Fiction, Book Club",Banned by Restriction,1,1,1,Moderate Interest,6.02,51.98,45.959999999999994,100.0,100.0,763.1,Strong Spike,True,29.87
Little Brother,Florida,2023-08-01,"Young Adult, Science Fiction, Fiction, Dystopia, Cyberpunk, Teen, Audiobook",Banned Pending Investigation,2,1,2,Popular,29.06,73.51,44.45,100.0,100.0,153.0,Strong Spike,True,24.41
Waiting For You,Iowa,2023-10-01,Young Adult Fiction,Banned Pending Investigation,2,1,2,Popular,37.39,81.67,44.28,100.0,100.0,118.42,Strong Spike,True,23.98
Canary,Iowa,2024-06-01,"Fiction, Juvenile Fiction",Banned Pending Investigation,1,1,1,Popular,41.03,84.46,43.42999999999999,100.0,100.0,105.82,Strong Spike,True,22.8
Stone Fox,Florida,2023-12-01,"Historical Fiction, Fiction, Childrens, Animals, Middle Grade, Realistic Fiction, Adventure",Banned Pending Investigation,1,1,1,Popular,21.77,63.56,41.790000000000006,100.0,100.0,191.99,Strong Spike,True,24.58
Cleopatra,Florida,2023-08-01,"Egypt, Queens",Banned Pending Investigation,1,1,1,Popular,23.57,64.62,41.050000000000004,100.0,100.0,174.21,Strong Spike,True,26.62
Cell,Florida,2024-05-01,"Horror, Fiction, Zombies, Thriller, Science Fiction, Post Apocalyptic, Fantasy",Banned,6,2,6,Popular,29.99,70.52,40.53,100.0,100.0,135.16,Strong Spike,True,23.53
Survivor,Florida,2024-06-01,Fiction,Banned by Restriction,1,1,1,Popular,22.43,62.22,39.79,100.0,100.0,177.37,Strong Spike,True,22.09
Kneel,Florida,2023-06-01,Young Adult Fiction,Banned Pending Investigation,1,1,1,Moderate Interest,13.53,52.86,39.33,100.0,100.0,290.56,Strong Spike,True,22.58
Queen,Florida,2023-08-01,"Dystopia, Young Adult, Science Fiction, Romance, Fiction, Fantasy, Teen",Banned Pending Investigation,1,1,1,Popular,37.04,76.12,39.080000000000005,100.0,100.0,105.49,Strong Spike,True,21.81
Jaws,Florida,2023-11-01,"Horror, Fiction, Thriller, Classics, Adventure, Suspense, Audiobook",Banned,3,1,3,Popular,35.06,72.79,37.730000000000004,100.0,100.0,107.64,Strong Spike,True,21.12
