book_title,ban_date,avg_search_before,avg_search_after,max_search_before,max_search_after,min_search_before,min_search_after,percent_change,absolute_change,volatility,data_collected,collection_successful,state,error
Sold,2021-11-01,80.08,80.43,100.0,100.0,72.0,69.0,0.44,0.36,5.36,2026-02-09 13:32:38,True,Texas,
Tricks,2022-07-01,80.31,86.23,100.0,100.0,69.0,73.0,7.37,5.92,6.32,2026-02-09 13:33:04,True,Arkansas,
A Court of Mist and Fury,2022-07-01,27.31,26.47,100.0,100.0,0.0,0.0,-3.09,-0.84,15.8,2026-02-09 13:33:31,True,Florida,
Empire of Storms,2022-09-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-09 13:33:57,True,Florida,
A Court of Wings and Ruin,2022-07-01,12.48,16.83,100.0,100.0,0.0,0.0,34.91,4.36,27.39,2026-02-09 13:34:23,True,Florida,
Living Dead Girl,2021-11-01,9.94,6.77,100.0,100.0,0.0,0.0,-31.96,-3.18,19.9,2026-02-09 13:34:50,True,Missouri,
Kingdom of Ash,2022-10-01,7.27,10.88,100.0,100.0,0.0,0.0,49.69,3.61,24.13,2026-02-09 13:35:17,True,Florida,
Last Night at the Telegraph Club,2022-02-01,4.88,4.56,100.0,100.0,0.0,0.0,-6.61,-0.32,19.75,2026-02-09 13:35:43,True,Tennessee,
Tilt (EH),2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 13:36:09,True,Alaska,
Lucky (AS),2023-07-01,40.29,32.99,100.0,100.0,0.0,0.0,-18.12,-7.3,28.94,2026-02-09 13:36:35,True,Alaska,
Beyond Magenta: Transgender Teens Speak Out,2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 13:37:01,True,Texas,
The Carnival at Bray,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 13:37:28,True,Florida,
Shine,2021-12-01,67.96,64.34,100.0,100.0,40.0,47.0,-5.31,-3.61,10.55,2026-02-09 13:37:54,True,Wisconsin,
The Sun and Her Flowers,2022-08-01,2.17,1.11,100.0,100.0,0.0,0.0,-48.72,-1.06,12.59,2026-02-09 13:38:21,True,Florida,
Push,2022-03-01,81.33,84.31,100.0,100.0,57.0,69.0,3.66,2.98,7.93,2026-02-09 13:38:49,True,Florida,
The Infinite Moment of Us,2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 13:39:26,True,Indiana,
The Nowhere Girls,2021-09-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-09 13:40:01,True,Florida,
The Lovely Bones,2021-10-01,17.49,27.04,100.0,100.0,7.0,10.0,54.64,9.56,15.79,2026-02-09 13:40:37,True,Oklahoma,
I Know Why The Caged Bird Sings,2021-10-01,25.5,26.52,100.0,100.0,0.0,0.0,4.01,1.02,30.55,2026-02-09 13:41:08,True,Oklahoma,
The Poet X,2021-10-01,0.0,3.82,0.0,100.0,0.0,0.0,inf,3.82,17.89,2026-02-09 13:41:36,True,New York,
Brave New World,2021-10-01,60.58,43.7,100.0,100.0,28.0,22.0,-27.86,-16.88,15.08,2026-02-09 13:42:03,True,Florida,
"Red, White, and Royal Blue",2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 13:42:30,True,Florida,
The Female of the Species,2022-10-01,18.61,37.99,100.0,100.0,0.0,0.0,104.12,19.38,33.46,2026-02-09 13:42:57,True,Florida,
Traffick,2022-10-01,10.5,10.83,100.0,100.0,0.0,0.0,3.17,0.33,22.02,2026-02-09 13:47:46,True,Florida,
Like a Love Story,2023-01-01,20.63,34.47,100.0,100.0,0.0,0.0,67.04,13.83,30.44,2026-02-09 13:51:44,True,Florida,
A Clash of Kings,2022-09-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-09 13:52:12,True,Pennsylvania,
Blankets,2021-11-01,69.37,58.21,100.0,100.0,51.0,32.0,-16.08,-11.16,13.56,2026-02-09 13:52:39,True,Missouri,
Oryx and Crake,2022-09-01,1.11,8.16,100.0,100.0,0.0,0.0,634.0,7.04,19.3,2026-02-09 13:53:07,True,Florida,
Go Ask Alice,2022-05-01,31.49,13.68,100.0,100.0,0.0,0.0,-56.56,-17.81,22.57,2026-02-09 13:53:33,True,Michigan,
Rumble,2022-09-01,54.53,26.57,100.0,100.0,45.0,19.0,-51.28,-27.97,16.88,2026-02-09 13:57:33,True,Florida,
Storm and Fury,2023-06-01,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-09 13:58:00,True,Florida,
It Ends With Us,2022-10-01,40.19,38.51,100.0,100.0,21.0,26.0,-4.17,-1.68,12.68,2026-02-09 13:58:26,True,Florida,
Native Son,2023-02-01,23.59,60.91,100.0,100.0,0.0,0.0,158.22,37.32,25.61,2026-02-09 13:58:53,True,Florida,
Extremely Loud and Incredibly Close,2023-08-01,13.7,3.74,100.0,100.0,0.0,0.0,-72.67,-9.96,20.68,2026-02-09 13:59:20,True,Alaska,
Queen of Shadows,2022-11-01,4.02,10.56,100.0,100.0,0.0,0.0,162.43,6.53,23.66,2026-02-09 14:00:20,True,Florida,
House of Earth and Blood,2022-10-01,2.99,4.72,100.0,100.0,0.0,0.0,57.99,1.73,17.98,2026-02-09 14:00:47,True,Florida,
Allegedly,2022-09-01,57.34,66.81,100.0,100.0,35.0,28.0,16.51,9.47,15.76,2026-02-09 14:04:46,True,Florida,
Eleanor and Park,2023-08-01,6.58,5.44,100.0,100.0,0.0,0.0,-17.23,-1.13,21.91,2026-02-09 14:05:12,True,Florida,
Breaking Dawn,2022-10-01,44.4,47.7,100.0,100.0,21.0,27.0,7.43,3.3,14.14,2026-02-09 14:05:42,True,Texas,
"Gabi, a Girl in Pieces",2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:06:09,True,Texas,
The Black Flamingo,2021-11-01,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-09 14:06:36,True,Texas,
Ask the Passengers,2021-12-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-09 14:07:04,True,Texas,
The Upside of Unrequited,2022-09-01,0.0,1.87,0.0,100.0,0.0,0.0,inf,1.87,12.61,2026-02-09 14:07:31,True,Florida,
Neanderthal Opens the Door to the Universe,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:07:57,True,Wisconsin,
Lucky,2021-11-01,76.72,75.9,100.0,100.0,65.0,61.0,-1.07,-0.82,7.67,2026-02-09 14:08:25,True,Florida,
"Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)",2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:08:52,True,Colorado,
Chosen,2022-12-01,36.73,62.32,100.0,100.0,21.0,40.0,69.66,25.59,18.94,2026-02-09 14:09:20,True,Florida,
The Breakaways,2021-09-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-09 14:09:47,True,Texas,
Speak: The Graphic Novel,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:10:14,True,Florida,
Heroine,2021-10-01,71.7,64.83,100.0,100.0,57.0,50.0,-9.58,-6.87,8.9,2026-02-09 14:10:42,True,Missouri,
Their Eyes Were Watching God,2021-10-01,36.6,44.53,100.0,100.0,0.0,0.0,21.68,7.93,26.67,2026-02-09 14:11:09,True,Oklahoma,
Forever for a Year,2021-11-01,0.0,2.39,0.0,100.0,0.0,0.0,inf,2.39,13.37,2026-02-09 14:11:36,True,Texas,
Ready Player One,2023-06-01,47.03,41.02,100.0,100.0,24.0,21.0,-12.78,-6.01,15.23,2026-02-09 14:12:04,True,Florida,
Heir of Fire,2023-02-01,10.99,18.39,100.0,100.0,0.0,0.0,67.34,7.4,27.95,2026-02-09 14:12:31,True,Florida,
Tilt,2022-03-01,80.76,84.54,100.0,100.0,65.0,73.0,4.69,3.79,7.34,2026-02-09 14:12:58,True,Texas,
Perfect Chemistry,2023-07-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-09 14:13:24,True,Florida,
Paper Towns,2023-08-01,27.8,32.28,100.0,100.0,0.0,0.0,16.11,4.48,21.98,2026-02-09 14:13:51,True,Florida,
Infandous,2021-10-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-09 14:14:19,True,Florida,
The Almost Moon,2023-09-01,1.11,4.52,100.0,100.0,0.0,0.0,307.0,3.41,15.41,2026-02-09 14:14:46,True,Florida,
The Nerdy and the Dirty,2021-11-01,2.06,2.17,100.0,100.0,0.0,0.0,5.41,0.11,14.03,2026-02-09 14:15:13,True,Texas,
Deogratias: A Tale of Rwanda,2021-11-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-09 14:15:39,True,Florida,
The Girl with the Dragon Tattoo,2023-08-01,54.03,33.98,100.0,100.0,23.0,20.0,-37.12,-20.06,16.49,2026-02-09 14:16:06,True,Florida,
Shiver,2023-06-01,31.39,16.76,100.0,100.0,22.0,4.0,-46.62,-14.63,16.58,2026-02-09 14:16:33,True,Florida,
"Everything, Everything",2023-08-01,0.0,1.9,0.0,100.0,0.0,0.0,inf,1.9,12.79,2026-02-09 14:17:01,True,Florida,
The Miseducation of Cameron Post,2021-12-01,1.11,7.04,100.0,100.0,0.0,0.0,534.0,5.93,18.04,2026-02-09 14:17:27,True,Texas,
The Assassin's Blade,2023-02-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-09 14:17:54,True,Florida,
Vampire Academy,2023-06-01,41.63,49.64,100.0,100.0,22.0,25.0,19.24,8.01,12.96,2026-02-09 14:18:22,True,Florida,
Fangirl,2022-09-01,22.78,27.19,100.0,100.0,0.0,0.0,19.37,4.41,32.59,2026-02-09 14:18:49,True,Florida,
The Testaments,2021-11-01,3.42,1.11,100.0,100.0,0.0,0.0,-67.53,-2.31,13.66,2026-02-09 14:19:16,True,Texas,
Relish: My Life in the Kitchen,2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:19:42,True,Florida,
Where I End and You Begin,2022-09-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-09 14:20:09,True,Florida,
Lady Midnight,2022-10-01,10.98,24.34,100.0,100.0,0.0,0.0,121.76,13.37,25.13,2026-02-09 14:20:36,True,Florida,
Feed,2021-11-01,60.8,55.01,100.0,100.0,31.0,32.0,-9.52,-5.79,10.03,2026-02-09 14:21:04,True,Florida,
Girl in Translation,2023-06-01,24.31,7.59,100.0,100.0,0.0,0.0,-68.78,-16.72,30.61,2026-02-09 14:21:31,True,Florida,
What My Mother Doesn't Know,2023-02-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-09 14:21:57,True,Florida,
Choke (CP),2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:22:24,True,Florida,
Graceling,2022-09-01,3.23,3.23,100.0,100.0,0.0,0.0,0.0,0.0,17.42,2026-02-09 14:22:51,True,Florida,
Ace of Spades,2021-11-01,75.76,57.23,100.0,100.0,58.0,37.0,-24.45,-18.52,13.0,2026-02-09 14:23:24,True,Florida,
Emergency Contact,2022-10-01,78.43,35.61,100.0,100.0,37.0,22.0,-54.6,-42.82,24.07,2026-02-09 14:27:19,True,Florida,
1984,2023-01-01,67.49,83.72,100.0,100.0,53.0,73.0,24.05,16.23,10.17,2026-02-09 14:27:46,True,Pennsylvania,
33 Snowfish,2021-11-01,0.0,2.98,0.0,100.0,0.0,0.0,inf,2.98,14.48,2026-02-09 14:28:12,True,Idaho,
Little and Lion,2023-10-01,6.21,6.31,100.0,100.0,0.0,0.0,1.61,0.1,20.54,2026-02-09 14:28:39,True,Florida,
Crank (Crank Series),2021-07-01,2.17,2.04,100.0,100.0,0.0,0.0,-5.64,-0.12,14.0,2026-02-09 14:29:06,True,Wisconsin,
Too Bright to See,2022-07-01,2.71,1.11,100.0,100.0,0.0,0.0,-59.02,-1.6,12.86,2026-02-09 14:29:33,True,Florida,
Scars,2021-12-01,84.37,81.92,100.0,100.0,66.0,64.0,-2.9,-2.44,7.24,2026-02-09 14:30:01,True,Texas,
Slaughterhouse-Five: The Graphic Novel,2022-09-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-09 14:30:30,True,Florida,
City of Heavenly Fire,2022-10-01,0.0,1.79,0.0,100.0,0.0,0.0,inf,1.79,12.22,2026-02-09 14:30:56,True,Florida,
Furyborn,2023-01-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-09 14:31:23,True,Virginia,
Breathless,2022-05-01,63.01,60.21,100.0,100.0,43.0,37.0,-4.44,-2.8,9.5,2026-02-09 14:31:51,True,Florida,
All Your Perfects,2023-06-01,42.64,23.07,100.0,100.0,0.0,0.0,-45.91,-19.58,29.25,2026-02-09 14:32:18,True,Florida,
A Thousand Splendid Suns,2023-02-01,43.64,56.76,100.0,100.0,0.0,0.0,30.04,13.11,28.18,2026-02-09 14:32:45,True,Pennsylvania,
Gone Girl,2021-11-01,39.14,64.34,100.0,100.0,19.0,43.0,64.38,25.2,18.13,2026-02-09 14:33:12,True,Florida,
Untamed (PCC),2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:33:39,True,Florida,
As I Lay Dying,2023-08-01,44.26,37.79,100.0,100.0,0.0,0.0,-14.61,-6.47,21.45,2026-02-09 14:34:06,True,Florida,
The Tenth Circle,2021-11-01,1.98,3.12,100.0,100.0,0.0,0.0,57.87,1.14,15.15,2026-02-09 14:38:03,True,Florida,
The Midnight Lie,2022-09-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-09 14:38:30,True,Florida,
The Magic Fish,2021-11-01,0.0,2.1,0.0,100.0,0.0,0.0,inf,2.1,13.95,2026-02-09 14:38:57,True,Texas,
It Starts With Us,2023-10-01,61.01,62.74,100.0,100.0,0.0,0.0,2.84,1.73,16.41,2026-02-09 14:39:25,True,Florida,
Draw Me a Star,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:39:51,True,Florida,
Fight Club,2023-06-01,62.58,76.5,100.0,100.0,48.0,59.0,22.25,13.92,11.99,2026-02-09 14:40:18,True,Florida,
Rainbow Boys,2022-09-01,18.72,23.17,100.0,100.0,0.0,0.0,23.74,4.44,33.39,2026-02-09 14:40:45,True,Florida,
Leah on the Offbeat,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:41:13,True,Florida,
Betrayed,2023-08-01,77.66,76.86,100.0,100.0,56.0,56.0,-1.03,-0.8,9.26,2026-02-09 14:45:13,True,Florida,
The Kingdom of Little Wounds,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:45:40,True,Florida,
Without Merit,2023-06-01,10.84,14.8,100.0,100.0,0.0,0.0,36.48,3.96,28.73,2026-02-09 14:46:06,True,Florida,
Anatomy of a Boyfriend,2022-10-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-09 14:46:33,True,Virginia,
The Chocolate War,2023-08-01,4.27,4.66,100.0,100.0,0.0,0.0,9.11,0.39,18.03,2026-02-09 14:46:59,True,Florida,
Lush,2021-11-01,80.79,34.31,100.0,100.0,66.0,21.0,-57.53,-46.48,24.9,2026-02-09 14:47:26,True,Florida,
Beautiful Disaster,2023-01-01,17.71,27.97,100.0,100.0,0.0,0.0,57.9,10.26,17.22,2026-02-09 14:47:54,True,Florida,
Brazen: Rebel Ladies Who Rocked the World,2022-09-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-09 14:48:20,True,Florida,
Kissing Kate,2021-12-01,1.11,2.14,100.0,100.0,0.0,0.0,93.0,1.03,12.51,2026-02-09 14:48:47,True,Texas,
Before I Fall,2021-10-01,65.94,53.36,100.0,100.0,0.0,0.0,-19.09,-12.59,19.15,2026-02-09 14:49:13,True,Oklahoma,
Stained,2021-12-01,83.07,77.72,100.0,100.0,71.0,58.0,-6.43,-5.34,8.11,2026-02-09 14:49:41,True,Texas,
The House on Mango Street,2022-05-01,40.5,29.62,100.0,100.0,0.0,0.0,-26.86,-10.88,27.81,2026-02-09 14:50:09,True,Michigan,
The Fountainhead,2023-08-01,13.22,23.22,100.0,100.0,0.0,0.0,75.63,10.0,27.61,2026-02-09 14:50:36,True,Florida,
History Is All You Left Me,2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:51:03,True,Texas,
"Assassination Classroom, Vol. 1",2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:51:33,True,Florida,
Bumped,2022-09-01,66.39,63.89,100.0,100.0,44.0,36.0,-3.77,-2.5,12.1,2026-02-09 14:52:00,True,Florida,
The Handsome Girl and Her Beautiful Boy,2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:52:28,True,Florida,
Carrie,2023-07-01,45.42,49.08,100.0,100.0,33.0,39.0,8.05,3.66,10.96,2026-02-09 14:52:56,True,Florida,
Rethinking Normal: A Memoir in Transition,2021-12-01,0.0,2.2,0.0,100.0,0.0,0.0,inf,2.2,14.59,2026-02-09 14:53:25,True,Texas,
After (AE),2023-08-01,13.1,10.97,100.0,100.0,0.0,0.0,-16.28,-2.13,27.38,2026-02-09 14:53:53,True,Florida,
The Best at It,2021-11-01,57.1,50.4,100.0,100.0,18.0,12.0,-11.73,-6.7,23.34,2026-02-09 14:54:23,True,Florida,
If I Stay,2022-10-01,82.22,82.88,100.0,100.0,69.0,65.0,0.8,0.66,6.9,2026-02-09 14:54:50,True,Texas,
If I Was Your Girl (MR),2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:55:21,True,Florida,
Loveless,2023-10-01,70.69,56.99,100.0,100.0,49.0,37.0,-19.38,-13.7,13.23,2026-02-09 14:55:53,True,Florida,
"Assassination Classroom, Vol. 4",2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:56:23,True,Florida,
How It All Blew Up,2021-12-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-09 14:56:51,True,Texas,
Stardust,2023-08-01,57.0,73.08,100.0,100.0,42.0,57.0,28.21,16.08,12.74,2026-02-09 14:57:19,True,Florida,
Girl Mans Up,2021-12-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-09 14:57:46,True,Texas,
Mercy,2023-02-01,81.37,63.97,100.0,100.0,51.0,49.0,-21.38,-17.4,12.59,2026-02-09 14:58:15,True,Florida,
Dead Until Dark,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 14:58:43,True,Florida,
Heart Bones,2023-10-01,49.57,58.99,100.0,100.0,0.0,0.0,19.01,9.42,19.73,2026-02-09 14:59:11,True,Florida,
Lightbringer,2023-10-01,28.67,44.13,100.0,100.0,0.0,0.0,53.95,15.47,24.18,2026-02-09 14:59:39,True,Florida,
A Curse of Roses,2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 15:00:07,True,Tennessee,
Ana on the Edge,2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 15:00:35,True,Texas,
The League of Super Feminists,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 15:01:05,True,Florida,
I Know Why the Caged Bird Sings,2023-10-01,24.77,9.96,100.0,100.0,0.0,0.0,-59.8,-14.81,21.12,2026-02-09 15:01:33,True,Iowa,
"Assassination Classroom, Vol. 5",2023-02-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-09 15:02:01,True,Florida,
Girls of Paper and Fire,2023-06-01,0.0,1.94,0.0,100.0,0.0,0.0,inf,1.94,13.03,2026-02-09 15:02:29,True,Florida,
Girl in Pieces,2022-09-01,51.22,53.8,100.0,100.0,0.0,0.0,5.03,2.58,24.46,2026-02-09 15:02:56,True,Florida,
Chain Reaction,2024-04-01,63.72,49.89,100.0,100.0,32.0,24.0,-21.71,-13.83,17.3,2026-02-09 15:03:24,True,Florida,
The Sky is Everywhere,2023-06-01,3.22,0.0,100.0,0.0,0.0,0.0,-100.0,-3.22,17.36,2026-02-09 15:03:53,True,Florida,
Out of the Easy,2021-11-01,47.83,43.5,100.0,100.0,0.0,0.0,-9.06,-4.33,24.57,2026-02-09 15:04:21,True,Florida,
Wake,2023-10-01,59.07,45.61,100.0,100.0,49.0,34.0,-22.78,-13.46,10.77,2026-02-09 15:04:49,True,Florida,
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 15:05:18,True,Texas,
Symptoms of Being Human,2021-10-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-09 15:05:46,True,Texas,
"Assassination Classroom, Vol. 2",2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-09 15:06:14,True,Florida,
Slammed,2023-10-01,82.83,78.0,100.0,100.0,64.0,63.0,-5.84,-4.83,8.99,2026-02-09 15:06:42,True,Iowa,
Pet Sematary,2023-02-01,44.53,48.42,100.0,100.0,26.0,22.0,8.73,3.89,11.95,2026-02-09 15:07:10,True,Pennsylvania,
