book_title,author
Sloppy Firsts (Jessica Darling Series),"McCafferty, Megan"
Outlander (Outlander Series),"Gabaldon, Diana"
Gender Queer: A Memoir,"Kobabe, Maia"
The Family Fletcher Takes Rock Island (Family Fletcher Series),"Levy, Dana Alison"
Thirteen Reasons Why,"Asher, Jay"
The Truth About Alice: A Novel,"Mathieu, Jennifer"
Looking for Alaska,"Green, John"
Out of Darkness,"Perez, Ashley Hope"
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L."
Milk and Honey,"Kaur, Rupi"
Life is Funny,"Frank, ER"
The Bluest Eye,"Morrison, Toni"
All Boys Aren't Blue,"Johnson, George M."
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman"
Home at Last,"Elya, Susan Middleton"
The Kite Runner,"Hosseini, Khaled"
Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,"Leff, Carrie"
Piecing Me Together,"Watson, Renée"
Duels and Deception,"Anstey, Cindy"
Forbidden,"Suzuma, Tabitha"
This Day in June,"Pitman, Gayle E."
Forever...,"Blume, Judy"
Everywhere Babies,"Meyers, Susan"
The Hate U Give,"Thomas, Angie"
Full Disclosure,"Garrett, Camryn"
Touching Spirit Bear (Spirit Bear Series),"Mikaelsen, Ben"
"Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up","Corinna, Heather"
Beloved,"Morrison, Toni"
Pride: The Story of Harvey Milk and the Rainbow Flag,"Sanders, Rob"
Blue Is the Warmest Color,"Maroh, Julie"
Unravel Me (Shatter Me Series),"Mafi, Tahereh"
The Benefits of Being an Octopus,"Braden, Ann"
No One Knows About You,"Montoya, Paco"
Nineteen Minutes,"Picoult, Jodi"
Me and Earl and the Dying Girl,"Andrews, Jesse"
Dreaming in Cuban,"García, Cristina"
"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah"
Tricks (Tricks Series),"Hopkins, Ellen"
"Trans+: Love, Sex, Romance, and Being You","Gonzales, Kathryn"
The Family Book,"Parr, Todd"
I am Jazz,"Jennings, Jazz"
Jack of Hearts (and other parts),"Rosen, L. C."
Fun Home: A Family Tragicomic,"Bechdel, Alison"
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran"
"Love, Hate & Other Filters","Ahmed, Samira"
Doing It!: Let's Talk About Sex,"Witton, Hannah"
This Book Is Gay,"Dawson, Juno"
The Haters,"Andrews, Jesse"
grl2grl,"Peters, Julie Anne"
Flamer,"Curato, Mike"
A Peacock Among Pigeons,"Curry, Tyler"
Fifty Shades of Grey (Fifty Shades Series),"James, E. L."
A Day in the Life of Marlon Bundo,"Twiss, Jill"
The Purim Superhero,"Kushner, Elisabeth"
Beautiful Bastard (Beautiful Bastard Series),"Lauren, Christina"
All American Boys,"Reynolds, Jason"
Fates and Furies,"Groff, Lauren"
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz"
Drama: A Graphic Novel,"Telgemeier, Raina"
The God of Small Things,"Roy, Arundhati"
The Handmaid's Tale,"Atwood, Margaret"
The Parker Inheritance,"Johnson, Varian"
Out of Darkness,"Pérez, Ashley Hope"
The Black Friend: On Being a Better White Person,"Joseph, Frederick"
Caraval (Caraval Series),"Garber, Stephanie"
A Court of Mist and Fury (A Court of Thorns and Roses Series),"Maas, Sarah J."
Eleanor & Park,"Rowell, Rainbow"
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret"
"Mommy, Mama, and Me","Newman, Lesléa"
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H."
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E."
How Beautiful We Were,"Mbue, Imbolo"
And Tango Makes Three,"Richardson, Justin"
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E."
Call Me Max (Max and Friends Series),"Lukoff, Kyle"
"Sex Plus: Learning, Loving, and Enjoying Your Body","Green, Laci"
Two Boys Kissing,"Levithan, David"
Speak,"Anderson, Laurie Halse"
The Perks of Being a Wallflower,"Chbosky, Stephen"
Dead Until Dark (Sookie Stackhouse Series),"Harris, Charlaine"
"Sex is a Funny Word: A Book about Bodies, Feelings, and YOU","Silverberg, Cory"
The Circle (The Circle Series),"Eggers, Dave"
Two Dads: A Book About Adopton,"Robertson, Carolyn"
More Happy Than Not,"Silvera, Adam"
Blended,"Draper, Sharon M."
Let Me Hear a Rhyme,"Jackson, Tiffany D."
Killing Mr. Griffin,"Duncan, Lois"
The Vincent Boys (The Vincent Boys Series),"Glines, Abbi"
Daddy's Roommate,"Willhoite, Michael"
S.E.X.: The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School and College,"Corinna, Heather"
The Scottsboro Boys,"Haskins, James"
This One Summer,"Tamaki, Mariko"
"Girl, Woman, Other","Evaristo, Bernardine"
Normal People,"Rooney, Sally"
Uglies (Uglies Series),"Westerfeld, Scott"
American Born Chinese,"Yang, Gene Luen"
Triangles,"Hopkins, Ellen"
Discovering Wes Moore,"Moore, Wes"
Dear Martin,"Stone, Nic"
What Girls Are Made Of,"Arnold, Elana K."
Monday's Not Coming,"Jackson, Tiffany D."
Almost Perfect,"Katcher, Brian"
Melissa (George),"Gino, Alex"
Worm Loves Worm,"Austrian, J.J."
The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,"Testa, Rylan Jay"
Lola Levine and the Ballet Scheme (Lola Levine Series),"Brown, Monica"
We March,"Evans, Shane W."
Morris Micklewhite and the Tangerine Dress,"Baldacchino, Christine"
How We Fight White Supremacy,"Solomon, Akiba"
Lola at the Library with Mommy (Lola Series),"McQuinn, Anna"
Yasmin the Zookeeper (Yasmin Series),"Faruqi, Saadia"
All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,"Kissinger, Katie"
Lola Levine Is Not Mean! (Lola Levine Series),"Brown, Monica"
Who Was Lucille Ball? (Who was...? Series),"Pollack, Pam"
Who Was Maria Tallchief? (Who was...? Series),"Gourley, Catherine"
Each Kindness,"Woodson, Jacqueline"
What Were the Negro Leagues? (What was...? Series),"Johnson, Varian"
This Is My America,"Johnson, Kim"
"I am Martin Luther King, Jr.","Meltzer, Brad"
How to Be an Antiracist,"Kendi, Ibram X."
Always my Dad,"Wyeth, Sharon Dennis"
"47,000 Beads","Adeyoha, Koja"
25 Women Who Ruled,"Stanborough, Rebecca J."
Pushout: The Criminalization of Black Girls in Schools,"Morris, Monique W."
Before John Was a Jazz Giant: A Song of John Coltrane,"Weatherford, Carole Boston"
One Green Apple,"Bunting, Eve"
"Mission Star-Power (Jaden Toussaint, the Greatest Series)","Dumas, Marti"
All the World,"Scanlon, Liz Garton"
Hey Black Child,"Perkins, Useni Eugene"
Yasmin the Fashionista (Yasmin Series),"Faruqi, Saadia"
No Mirrors in My Nana's House: Musical CD and Book,"Barnwell, Ysaye M."
Because,"Willems, Mo"
"Jasmine Toguchi, Drummer Girl (Jasmine Toguchi Series)","Florence, Debbi Michiko"
Team BFF: Race to the Finish! (Girls Who Code Series),"Deutsch, Stacia"
Hands Up!,"McDaniel, Breanna J."
The Power of One: Every Act of Kindness Counts,"Ludwig, Trudy"
Yasmin the Friend (Yasmin Series),"Faruqi, Saadia"
The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools,"Duncan-Andrade, Jeffrey M. R."
King & Kayla and the Case of the Lost Tooth (King & Kayla Series),"Butler, Dori Hillestad"
Lola Loves Stories with Daddy (Lola Series),"McQuinn, Anna"
Ghost Boys,"Rhodes, Jewell Parker"
As Fast as Words Could Fly,"Tuck, Pamela M."
My Family Adventure (Sofía Martínez Series),"Jules, Jacqueline"
Harvesting Hope: The Story of Cesar Chavez,"Krull, Kathleen"
"Daddy, There's A Noise Outside","Braswell, Kenneth"
Michelle,"Hopkinson, Deborah"
Who Wants I Scream? (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés"
Planet Omar: Unexpected Super Spy (Planet Omar Series),"Mian, Zanib"
Exquisite: The Poetry and Life of Gwendolyn Brooks,"Slade, Suzanne"
Ada Byron Lovelace and the Thinking Machine,"Wallmark, Laurie"
Saturday,"Mora, Oge"
Culturally Sustaining Pedagogies: Teaching and Learning for Justice in a Changing World,"Paris, Django"
Mindy Kim and the Birthday Puppy (Mindy Kim Series),"Lee, Lyla"
"Reparations, Yes!: The Legal And Political Reasons Why New Afrikans, Black People In North America, Should Be Paid Now For The Enslavement Of Our Ancestors","Lumumba, Chokwe"
Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,"Prager, Sarah"
Shopping Trip Trouble (Sofía Martínez Series),"Jules, Jacqueline"
Another,"Robinson, Christian"
"Ghosts Don't Ride Bikes, Do They? (Desmond Cole Ghost Patrol Series)","Miedoso, Andrés"
"Same, Same But Different","Kostecki-Shaw, Jenny Sue"
"Big Hair, Don't Care","Swain-Bates, Crystal"
The Sleepwalking Snowman (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés"
Lola Plants a Garden (Lola Series),"McQuinn, Anna"
Jabari Jumps (Jabari Series),"Cornwall, Gaia"
Peanut Goes for the Gold,"Van Ness, Jonathan"
Every Day Is Exciting (Sofía Martínez Series),"Jules, Jacqueline"
