book_title,review_date,rating,review_text,ban_date,match_type
Nineteen Minutes,2023-11-19,5,"When I initially started listening to Nineteen Minutes on audiobook, I debated about whether I was going to continue because it is a fictional account of a mass shooting at a high school. The grim reality of mass shootings throughout the US at schools, malls, stores, churches, movie theaters, etc is disturbing, depressing, and seems to be never ending. I read several Goodreads reviews on Nineteen Minutes and decided to continue listening to the audiobook. It is narrated superbly by Carol Monda. The plot and story arc are woven masterfully. The relationships between parents and teenagers show how small fractures can turn into chasms. Character development is outstanding. Bullying is a critical theme.The title is based on how many things can be done in a nineteen minute timeframe. Settle into this book, because it is over nineteen hours on audiobook but it is well worth the time. ",2023-08-01,In Window
Nineteen Minutes,2023-05-08,1,"1.5 ""would be ok as a 1990s television mini series by NBC"" star !! So I'm going to stop at 34 percent.... I tried Jodi...I tried... For decades my IRL gal pals have been reading Picoult...reliable stuff they said.... I wanted very much to like this and for brief moments I did... but there are so many difficulties I had with this Chick lit book...so many difficulties ....way too many perspectives .....way too many vignettes...a few were emotionally impactful...many were such a huge waste of time .....the women are great vibe is so barf worthy here...really all of them...fuck off Jodi ...absolutely no psychological depth and plenty of small town cliche-writing is clear and passable but some of the artistic flourishes are just not artistic.......important topic here but just no... I will not be trying another Picoult...I will notAs a tv series I would likely watch but this book is way too long for a ""poor to maybe if I'm lucky mediocre"" reading experience.",2023-08-01,In Window
Nineteen Minutes,2024-04-12,5,"Catching up…I am obviously on a Jodi Picoult read and re-visit phase of getting my reviews to Goodreads. I remember our Library book discussion group loved her, and so we discussed her books a lot. And, because she always had such compelling themes to her stories, one of her books was usually easy to select for a discussion. With this story, published in 2007, and me re-visiting it in 2024, it almost felt like as a generation, we aren’t learning anything. We just keep repeating history. Nineteen minutes makes reference to the duration of a high-school shooting rampage perpetrated by a teenager named Peter. Picoult’s intention is to tell this story in healing mode, emphasizing the slights, taunts and oversights that brought Peter to this point – that would create these devastating 19 minutes. How did Peter begin? Was it his home life? Was it his first day of kindergarten? Was it him being a bullied kid? Was he a victim of his circumstances? As readers are we led to be compassionate towards Peter? More understanding to his breakdown? His pain? What about the victims of the shooting? As a writer, Picoult is articulate. She is clear. She is a soap-opera with twists but providing a thoughtful closure. How else are we to interpret the book cover of hands being held?There are so many ways of looking at this story, that readers become judge and jury. Will we be sympathetic overall? There is so much to feel here. ",2023-08-01,In Window
Nineteen Minutes,2023-04-04,5,"From the blurb: “Nineteen Minutes asks what it means to be different in our society, who has the right to judge someone else, and whether anyone is ever really who they seem to be.”After reading Mad Honey, my first book by this author (although it was written with the collaboration of another author, Finney Boilan), I realized that I was missing a terrific storyteller.So here I am, finished reading my 6th book by this author.I wasn’t planning on reading a Picoult’s book anytime soon, but I was at the public library and found this book sitting on the shelf and what I noticed immediately was that the cover (a turned over desk table and a chair) was not the standard cover associated with this author’s books, you know, the ones with a couple holding hands or a child playing, those covers that suggested the book belongs to the romance genre section, a genre that I do not read (yes, I do judge a book by its cover), and I started flipping the pages and became completely enthralled, so I had to take it with me.This is a remarkable work of fiction.The storyline and the development of the characters was terrific! And I absolutely loved the dynamic between the characters.The story is quite heartbreaking and it did bring me memories from my childhood and teen years, when I was constantly bullied.I found everything believable and the courtroom drama was well done. How riveting!But I confess that I wasn’t a fan of the conclusion, although acceptable. Regardless, I still think that this book deserves my 5 stars ratings, as I was completely hooked and didn’t want to stop reading.I think that I will be reading this book very soon, as I want to make sure that I did not miss anything.Hardcover (published 2007): 464 pages (15-16 hours)e-book (Kobo): 694 pages (default), 188k words Audiobook Narrated by Carol Monda: 21.1 hours (normal speed)",2023-08-01,In Window
Nineteen Minutes,2022-12-23,5,"Part of me remembered what Columbine was like for me when I heard the news 23 years ago. Part of me was disgusted that even a couple weeks ago, another school shooting has occurred. There are no winners in this book.What the author does brilliantly is to show the mind of every character as it’s unfolding and everything that led up to the moment. She shows every detail of every angle to provide a complete bird’s eye view and an omniscience none of the other characters can have. In doing so, you end up with a sympathy for every person. And no one seems to understand and can have you live through a teenager’s mind better than Picoult. This feels true of most books where she’s writing about teens. She does it so authentically. I almost wonder if she has a teen that she consults when writing their characters.In the end, I was really proud of Josie for the revelations she had and the courage it took to admit them. In the end, I hope every person who takes the time to read this book will also see that small kindnesses make the whole world worth living in (and that teenage girls can know they can and should say NO loudly and often).",2023-08-01,In Window
Looking for Alaska,2024-02-05,4,"⋆｡°·☁︎ '𝓘𝓯 𝓹𝓮𝓸𝓹𝓵𝓮 𝔀𝓮𝓻𝓮 𝓻𝓪𝓲𝓷, 𝓘 𝔀𝓪𝓼 𝓭𝓻𝓲𝔃𝔃𝓵𝓮 𝓪𝓷𝓭 𝓼𝓱𝓮 𝔀𝓪𝓼 𝓪 𝓱𝓾𝓻𝓻𝓲𝓬𝓪𝓷𝓮.' ☂‧₊˚ ☁️⋅♡𓂃 ࣪ ִֶָ.This was really freaking good. Damn, Green writes some great characters! “𝓣𝓱𝓮 𝓸𝓷𝓵𝔂 𝔀𝓪𝔂 𝓸𝓾𝓽 𝓸𝓯 𝓽𝓱𝓮 𝓵𝓪𝓫𝔂𝓻𝓲𝓷𝓽𝓱 𝓸𝓯 𝓼𝓾𝓯𝓯𝓮𝓻𝓲𝓷𝓰 𝓲𝓼 𝓽𝓸 𝓯𝓸𝓻𝓰𝓲𝓿𝓮.”╰⪼ Real, raw and unfiltered. The beauty of this story is that it doesn't hide anything. It showcases what young love and growing up really are in a brutal and honest light. How the characters communicate, their relationships with each other, their pasts and the pleasure that comes with being a bad kid shines through the pages. I might actually prefer this book to The Fault in Our Stars... Idk, the jury is still out on that one lol. This is a book of grief, friendship, escapes and life. It’s dark, and romantic. Thought provoking, character driven tale of Alaska and Miles. The ending will leave you heartbroken. You might not sob out buckets like most readers did at the end of The Fault in Our Stars, but you'll get attached to Miles and Alaska, just as they do to each other.“𝓣𝓱𝓸𝓶𝓪𝓼 𝓔𝓭𝓲𝓼𝓸𝓷’𝓼 𝓵𝓪𝓼𝓽 𝔀𝓸𝓻𝓭𝓼 𝔀𝓮𝓻𝓮 “𝓘𝓽’𝓼 𝓿𝓮𝓻𝔂 𝓫𝓮𝓪𝓾𝓽𝓲𝓯𝓾𝓵 𝓸𝓿𝓮𝓻 𝓽𝓱𝓮𝓻𝓮”. 𝓘 𝓭𝓸𝓷’𝓽 𝓴𝓷𝓸𝔀 𝔀𝓱𝓮𝓻𝓮 𝓽𝓱𝓮𝓻𝓮 𝓲𝓼, 𝓫𝓾𝓽 𝓘 𝓫𝓮𝓵𝓲𝓮𝓿𝓮 𝓲𝓽’𝓼 𝓼𝓸𝓶𝓮𝔀𝓱𝓮𝓻𝓮, 𝓪𝓷𝓭 𝓘 𝓱𝓸𝓹𝓮 𝓲𝓽’𝓼 𝓫𝓮𝓪𝓾𝓽𝓲𝓯𝓾𝓵”.୨୧‿‿‿୨ﾠ୧‿‿‿୨୧",2023-08-01,In Window
Looking for Alaska,2023-10-31,5,"this book fixed something that it didn’t break. we all had that time period where we got lost, needed to be found by ourselves, not by anyone else. but struggling because that dark thoughts towards yourself are so strong that you cannot find a way out from your own suffering, and trying to ignore that pain with all your power. i never found a way to put that dark times into words, however miles’ and alaska’s words have done that for me.
”Before I got here, I thought for a long time that the way out of the labyrinth was to pretend that it did not exist, to build a small, self-sufficient world in a back corner of the endless maze and to pretend that I was not lost, but home. But that only led to a lonely life accompanied only by the last words of the already-dead, so I came here looking for a Great Perhaps, for real friends and a more-than-minor life.”
ignoring a problem, staying away from reckless acts, avoiding conflict at all costs, blaming yourself constantly, trying to heal by yourself quietly; these are all things that comes along with the mistakes you have done, even though your brain knows that you are not guilty, your heart makes you wonder, was it your fault, could you have been a better person, was there a way out, could you do things differently? the way these topics were examined in this book was incredibly realistic that i felt like someone put a mirror in my thoughts, and reflected into those pages. and i really believe that everyone can find a piece of themselves on these pages, because i don’t believe that there is someone who is alive, and doesn’t blame themselves for something they have done, even people that we believe are bad people.your past is a lesson, not a life sentence. because of our fear that we will make a mistake again, we choose the safe paths, isolating ourselves from the passion of life, creating a bland but secure one. we should not just exist or survive, we should live and feel alive. i know sometimes it is hard to believe that, but this book shows these facts to you so well that, you got no choice but to listen to it.
“When adults say, ""Teenagers think they are invincible"" with that sly, stupid smile on their faces, they don't know how right they are. We need never be hopeless, because we can never be irreparably broken. We think that we are invincible because we are. We cannot be born, and we cannot die. Like all energy, we can only change shapes and sizes and manifestations. They forget that when they get old. They get scared of losing and failing. But that part of us greater than the sum of our parts cannot begin and cannot end, and so it cannot fail.”
i dived into this expecting a quick and enjoyable read, however it turned out to be the one that speaks to my soul so clearly. it presented a voice i that cannot speak, and i really hope that if you haven’t read this one yet, you can understand that you are not the first person who has self-guilt, and you will never be the last.
“It's not life or death, the labyrinth. Suffering. Doing wrong and having wrong things happen to you. That's the problem. Bolivar was talking about the pain, not about the living or dying. How do you get out of the labyrinth of suffering?”
plot of this is that the main character miles ‘pudge’ is getting sick of his boring an plain life and wanting to find his own ’the great perhaps’ by enrolling culver creek boarding school. he meets his people there, colonel, takumi, lara and… alaska. those people are known to pull incredible pranks, living their life passionately by acting like there is no tomorrow, which made the ’before’ part of the book a lot entertaining. however the part where i got so connected with the book was, the part ’after’.
“I wanted to be one of those people who have streaks to maintain, who scorch the ground with their intensity. But for now, at least I knew such people, and they needed me, just like comets need tails.”
miles ‘pudge’: i tend to dislike high schoolers in books, because they are usually written either too unrealistically mature for their age, or the quite opposite, total immature teens. miles was the perfect example of a teenager, he had insecurities, anxious thoughts, confidence, love, desire to get academic validation, and wish to spend time with his friends and his crush. he also had this poetic side that made me smile softly, he described alaska’s half smile as mona lisa’s unique smile, just wanting to sleep with alaska without having no sexual interaction, calling her dorm that he shares with colonel ‘home’.. he was such a beautiful boy with all of his self destructive thoughts, loyalty for his friends, gratitude towards his family and many other things.
“When I look at my room, I see a girl who loves books.”
alaska: she was fucked up so beautifully. you can’t understand her character but in reality you can, you get so mad at her, after a second you want to hug her, you curse at her morals, a few moments later you praise her intelligence. the complexity of her character was incredibly well-written, you can feel her duality of wanting to stay alive, but wanting to just disappear from the world at the same time so clearly. she hates herself, she loves herself; she is loyal, she is unfaithful; she is smart, she is stupid. i really cannot explain her character to you, because she is incredibly unique that i think everyone would describe her differently.
“Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.”
there will always be books that we won’t able to read, friends we won’t able to comfort, songs we won’t able to listen, words we cannot speak, corners of the maze we cannot turn. but we can enjoy the memories we have, and make the most of it by being brave and kind, both to others and to ourselves.
“We are as indestructible as we believe ourselves to be.”
i cried two times while writing this. we are all scared, we are all anxious, we all have suffered, but we all get through it, or getting through it. but we are not just our fears, anxiety or pain, we are also our kindness, dreams and love. none of us will be happy all time, but never suffer all the time either. we will fall apart at the end, but we can leave some kindness and love behind us.
“We are greater than the sum of our parts.”
nov 3: this book was so perfect that, there is no way that i can justify it with a review, but i will try. rtc.oct 31: am i too late to read this🧍🏻‍♀️",2023-08-01,In Window
The Perks of Being a Wallflower,2024-05-16,5,I want to rip every single strand of hair out of my head using only my teeth ,2023-07-01,In Window
The Perks of Being a Wallflower,2022-11-08,4,"I can't believe I managed to live my whole without hearing one spoiler!I ended up really enjoying this (also watch the movie right after!).This is the perfect ""coming of age book to read in high school"".Vlog: https://youtu.be/FRWkymuplHM",2023-07-01,In Window
The Perks of Being a Wallflower,2022-08-31,4,"Stephen Chbosky tells us the story of an introvert, Charlie, through this novel. 

 Charlie might be awkward at social events but is a brilliant innocent person with excellent thinking capacity. Nobody can blame you if you feel deja vu when you read his letters. It is that much relatable to our lives. The author beautifully depicts how he explores everything in his life for the first time through the friendship of Patrick and Sam. The author realistically portrays the difficulties and curiosities of a young adult's life.
What I learned from this book 

1) How can we take charge of our life during difficult circumstances? 
We can never fully safeguard our life from negative experiences. We inevitably have to go through some negative experiences in our life. But we can control how we react to it. If we are able to react judiciously, our life will never go off track during trying circumstances.  ""So, I guess we are who we are for a lot of reasons. And maybe we'll never know most of them. But even if we don't have the power to choose where we come from, we can still choose where we go from there. We can still do things. And we can try to feel okay about them.""  
2) What is the greatest gift you can give your loved ones? 
Presence is the biggest present that you can give your loved ones. When there is a person to just sit near you and make you feel they are with you no matter whatever happens in your life and willing to hear you patiently, you should consider yourself the luckiest person.  “We didn't talk about anything heavy or light. We were just there together. And that was enough.""  
3) Why do people want to be in a relationship when they are single and want to be single when they are in a relationship? 
I think the best state a human being can achieve in their life is to be attached to an individual in a relationship and feel free and independent at the same time. In simpler terms, we should have a relationship without compromising the identities and individuality of both individuals. It is a complex state that only true soulmates can achieve.When the relationship is not in an ideal state, as I mentioned above, singles might feel life boring due to the lack of attachment, and couples will find life boring due to the loss of individuality. ""If somebody likes me, I want them to like the real me, not what they think I am. And I don't want them to carry it around inside. I want them to show me, so I can feel it, too. I want them to be able to do whatever they want around me.""  
My favourite three lines from this book 
 “Things change. And friends leave. Life doesn't stop for anybody.""   “I would die for you. But I won't live for you.”    ""I just want you to know that you're very special… and the only reason I'm telling you is that I don't know if anyone else ever has.""   
What could have been better?
There are a lot of trigger warnings in this book, like sexual abuse, domestic abuse, incest, and drug abuse. Some readers might find it difficult to read these parts of this book.
Rating 
 4/5 This is one of the best coming-of-age books I have read. If you liked the book Catcher in the rye, you should definitely try this book.",2023-07-01,In Window
