state_name,total_bans,unique_titles_banned,unique_districts,school_years,has_lgbtq,has_race,has_sexual,has_violence,has_mental,has_religion,has_age,population,bans_per_100k,titles_per_100k,pct_lgbtq,pct_race,pct_sexual,pct_violence,pct_mental,pct_religion,pct_age
Alaska,57,57,2,2,9,2,29,21,14,1,32,733971.0,7.765974404983303,7.765974404983303,15.789473684210526,3.508771929824561,50.877192982456144,36.84210526315789,24.561403508771928,1.7543859649122806,56.14035087719298
Arizona,2,2,1,1,0,0,1,1,2,0,1,7268175.0,0.02751722406243658,0.02751722406243658,0.0,0.0,50.0,50.0,100.0,0.0,50.0
Arkansas,5,4,3,2,5,0,3,0,2,0,2,3032651.0,0.1648722520329573,0.13189780162636583,100.0,0.0,60.0,0.0,40.0,0.0,40.0
California,3,2,2,2,2,0,3,0,0,0,1,39242785.0,0.007644717366517183,0.005096478244344788,66.66666666666666,0.0,100.0,0.0,0.0,0.0,33.33333333333333
Colorado,27,25,4,2,7,7,14,5,15,0,18,5810774.0,0.4646541063204317,0.4302352836300294,25.925925925925924,25.925925925925924,51.85185185185185,18.51851851851852,55.55555555555556,0.0,66.66666666666666
Florida,8837,4218,58,4,1260,740,2957,2556,1236,279,5615,21928881.0,40.298453897396776,19.234907608828742,14.258232431820753,8.3738825393233,33.46158198483648,28.923842933122103,13.986647052167026,3.1571800384745954,63.539662781486925
Georgia,153,118,6,4,43,14,63,49,45,2,95,10822590.0,1.413709657300147,1.0903120232772379,28.104575163398692,9.15032679738562,41.17647058823529,32.02614379084967,29.411764705882355,1.3071895424836601,62.091503267973856
Idaho,63,55,5,3,18,7,31,11,17,1,37,1893296.0,3.327530402007927,2.904986858895809,28.57142857142857,11.11111111111111,49.2063492063492,17.46031746031746,26.984126984126984,1.5873015873015872,58.730158730158735
Illinois,7,5,6,2,4,2,3,3,4,0,1,12692653.0,0.05515001473687179,0.039392867669194136,57.14285714285714,28.57142857142857,42.857142857142854,42.857142857142854,57.14285714285714,0.0,14.285714285714285
Indiana,24,21,7,4,7,3,12,5,5,0,20,6811752.0,0.3523322634176934,0.3082907304904817,29.166666666666668,12.5,50.0,20.833333333333336,20.833333333333336,0.0,83.33333333333334
Iowa,3798,1148,124,4,607,341,1625,1137,970,119,2504,3195937.0,118.83838761527527,35.92060794690258,15.982095839915743,8.978409689310162,42.7856766719326,29.936808846761455,25.53975776724592,3.1332280147446023,65.92943654555029
Kansas,38,36,3,3,10,11,12,11,13,0,23,2937569.0,1.2935866357522157,1.225503128607362,26.31578947368421,28.947368421052634,31.57894736842105,28.947368421052634,34.21052631578947,0.0,60.526315789473685
Kentucky,103,103,2,2,64,3,33,11,11,1,74,4510725.0,2.2834466743151043,2.2834466743151043,62.13592233009708,2.912621359223301,32.038834951456316,10.679611650485436,10.679611650485436,0.9708737864077669,71.84466019417476
Louisiana,1,1,1,1,1,0,0,0,1,0,1,4621025.0,0.021640220513847036,0.021640220513847036,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Maine,97,90,6,3,14,4,39,44,21,5,41,1377400.0,7.042253521126761,6.534049658777407,14.432989690721648,4.123711340206185,40.20618556701031,45.36082474226804,21.649484536082475,5.154639175257731,42.2680412371134
Maryland,71,68,4,3,15,4,37,24,16,1,38,6170738.0,1.1505917120448155,1.1019751608316541,21.12676056338028,5.633802816901409,52.112676056338024,33.80281690140845,22.535211267605636,1.4084507042253522,53.52112676056338
Massachusetts,2,2,2,2,1,1,1,0,0,0,1,6992395.0,0.028602503148063,0.028602503148063,50.0,50.0,50.0,0.0,0.0,0.0,50.0
Michigan,80,65,15,2,19,11,35,16,29,1,48,10051595.0,0.7958935870376791,0.6466635394681143,23.75,13.750000000000002,43.75,20.0,36.25,1.25,60.0
Minnesota,19,19,6,4,5,3,7,4,5,0,11,5713716.0,0.33253315355540947,0.33253315355540947,26.31578947368421,15.789473684210526,36.84210526315789,21.052631578947366,26.31578947368421,0.0,57.89473684210527
Mississippi,22,22,1,1,1,12,4,6,5,0,17,2951438.0,0.745399361260511,0.745399361260511,4.545454545454546,54.54545454545454,18.181818181818183,27.27272727272727,22.727272727272727,0.0,77.27272727272727
