book_title,challenge_reasons,num_reasons,primary_reason
Sloppy Firsts (Jessica Darling Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Outlander (Outlander Series),Sexual or romantic content; Violence & mature themes,2,Sexual or romantic content
Gender Queer: A Memoir,LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,3,LGBTQ+ identity & sexuality
The Family Fletcher Takes Rock Island (Family Fletcher Series),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Thirteen Reasons Why,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
The Truth About Alice: A Novel,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Looking for Alaska,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Out of Darkness,Age-appropriateness concerns; Race & systemic inequality; Sexual or romantic content,3,Age-appropriateness concerns
I Am Not Your Perfect Mexican Daughter,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Milk and Honey,Gender politics & feminism; Mental health & trauma; Sexual or romantic content; Violence & mature themes,4,Gender politics & feminism
Life is Funny,Age-appropriateness concerns,1,Age-appropriateness concerns
The Bluest Eye,Race & systemic inequality,1,Race & systemic inequality
All Boys Aren't Blue,LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,3,LGBTQ+ identity & sexuality
The Absolutely True Diary of a Part-Time Indian,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Home at Last,Age-appropriateness concerns,1,Age-appropriateness concerns
The Kite Runner,,0,Uncategorized
Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,Sexual or romantic content,1,Sexual or romantic content
Piecing Me Together,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Duels and Deception,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Forbidden,Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
This Day in June,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Forever...,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Everywhere Babies,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
The Hate U Give,Age-appropriateness concerns; Mental health & trauma; Race & systemic inequality; Violence & mature themes,4,Age-appropriateness concerns
Full Disclosure,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Touching Spirit Bear (Spirit Bear Series),Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
"Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up",Sexual or romantic content,1,Sexual or romantic content
Beloved,Race & systemic inequality; Sexual or romantic content,2,Race & systemic inequality
Pride: The Story of Harvey Milk and the Rainbow Flag,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Blue Is the Warmest Color,LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
Unravel Me (Shatter Me Series),Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
The Benefits of Being an Octopus,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
No One Knows About You,,0,Uncategorized
Nineteen Minutes,Mental health & trauma; Violence & mature themes,2,Mental health & trauma
Me and Earl and the Dying Girl,Age-appropriateness concerns,1,Age-appropriateness concerns
Dreaming in Cuban,,0,Uncategorized
"Queer, There and Everywhere: 23 People Who Changed the World",LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
